SHEF_A,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Gully/Manhole Defects,87.0,80.0,44.0,38.0,38.0,64.0,55.0,54.0,55.0,50.0,60.0,34.0
Highway Condition,1915.0,2395.0,1546.0,577.0,819.0,1258.0,1330.0,1596.0,1448.0,1480.0,1359.0,1458.0
Highway Drainage,8.0,11.0,4.0,3.0,2.0,6.0,3.0,,3.0,7.0,3.0,4.0
Ice & Snow,35.0,5.0,2.0,,1.0,,1.0,2.0,3.0,4.0,7.0,20.0
Leafing,52.0,27.0,11.0,8.0,6.0,13.0,12.0,27.0,20.0,23.0,109.0,63.0
Lewisham Homes,16.0,18.0,16.0,11.0,13.0,18.0,32.0,15.0,17.0,11.0,9.0,6.0
Litter/Litter Bin,602.0,472.0,471.0,320.0,490.0,610.0,566.0,536.0,578.0,494.0,668.0,586.0
Manhole Covers,359.0,312.0,243.0,133.0,155.0,200.0,218.0,239.0,275.0,258.0,247.0,237.0
Manhole Defects,12.0,10.0,10.0,3.0,3.0,7.0,12.0,9.0,4.0,11.0,5.0,7.0
Missed Bin Collection,49.0,46.0,39.0,53.0,52.0,64.0,38.0,32.0,36.0,38.0,29.0,45.0
Noise,,1.0,,2.0,1.0,1.0,,,2.0,,,1.0
Obstruction,600.0,837.0,403.0,197.0,403.0,611.0,705.0,710.0,708.0,564.0,509.0,405.0
Open Spaces/Parks,457.0,497.0,420.0,446.0,901.0,927.0,875.0,814.0,748.0,496.0,516.0,445.0
Other,2978.0,2397.0,1480.0,1045.0,1639.0,1987.0,2155.0,2255.0,2044.0,1982.0,1842.0,1676.0
Overgrown Vegetation,516.0,794.0,426.0,500.0,1390.0,2046.0,2183.0,1882.0,1717.0,1337.0,1120.0,820.0
Parking,909.0,894.0,711.0,316.0,519.0,806.0,989.0,1101.0,1192.0,1097.0,1030.0,748.0
Pavement /Footway Defects,2600.0,2699.0,1905.0,1120.0,1956.0,2728.0,2901.0,2836.0,3134.0,2738.0,2685.0,2271.0
Pest Control,,,,,,,,,,,1.0,
Phoenix HA,6.0,12.0,,,,7.0,2.0,2.0,1.0,,1.0,
Potholes,15212.0,16016.0,14390.0,3057.0,3511.0,3852.0,3736.0,3494.0,4010.0,4452.0,4598.0,6113.0
Property Damage,,1.0,1.0,1.0,,,,,,,,
Protected Trees,,,,,,,,,1.0,1.0,,
Public Toilets,5.0,11.0,6.0,15.0,7.0,7.0,18.0,9.0,19.0,10.0,15.0,7.0
Recycling,6.0,23.0,17.0,3.0,4.0,13.0,8.0,11.0,17.0,9.0,2.0,10.0
Retaining Wall,4.0,7.0,6.0,4.0,3.0,4.0,11.0,7.0,12.0,4.0,6.0,9.0
Right of Way,321.0,287.0,126.0,120.0,173.0,189.0,209.0,250.0,277.0,202.0,175.0,162.0
Road Markings,613.0,614.0,330.0,197.0,308.0,396.0,440.0,423.0,479.0,498.0,487.0,436.0
Road Safety,1.0,8.0,10.0,4.0,15.0,30.0,27.0,22.0,21.0,13.0,10.0,6.0
Road Surface Defects,2564.0,2699.0,2330.0,852.0,1218.0,1548.0,1578.0,1573.0,1513.0,1616.0,1781.0,1692.0
Road Works,144.0,152.0,119.0,68.0,108.0,218.0,277.0,248.0,312.0,278.0,253.0,205.0
Road/Pavement Defects,25.0,22.0,49.0,34.0,56.0,91.0,98.0,75.0,98.0,69.0,96.0,41.0
Rubbish,835.0,664.0,732.0,631.0,896.0,1048.0,965.0,912.0,902.0,748.0,902.0,829.0
Salt Bins,4.0,3.0,,,2.0,2.0,1.0,,2.0,2.0,3.0,1.0
Shopping Trolley,17.0,17.0,15.0,19.0,23.0,23.0,35.0,17.0,32.0,12.0,7.0,4.0
Skips,1.0,1.0,1.0,1.0,,,1.0,2.0,,1.0,,
Spillage on Road,46.0,50.0,33.0,15.0,12.0,32.0,29.0,26.0,32.0,25.0,49.0,38.0
Street Cleaning,2210.0,1654.0,1422.0,1063.0,1475.0,1651.0,1871.0,1905.0,2011.0,1627.0,2356.0,2048.0
Street Furniture,159.0,124.0,127.0,78.0,100.0,156.0,168.0,156.0,145.0,165.0,171.0,139.0
Street Lights,5800.0,4269.0,2754.0,1500.0,1760.0,1641.0,2033.0,2736.0,3714.0,4941.0,5633.0,4621.0
Street Name Plates,141.0,176.0,123.0,67.0,115.0,144.0,157.0,188.0,193.0,163.0,184.0,144.0
Street Signs,1279.0,1375.0,953.0,503.0,728.0,976.0,1119.0,1224.0,1269.0,1167.0,1135.0,962.0
Trade Waste,6.0,5.0,4.0,9.0,2.0,3.0,9.0,11.0,13.0,7.0,7.0,1.0
Traffic Lights,357.0,414.0,242.0,145.0,209.0,296.0,270.0,298.0,341.0,364.0,394.0,285.0
Trees and Hedges RoW,30.0,101.0,42.0,35.0,114.0,159.0,162.0,162.0,137.0,95.0,52.0,14.0
Trees on RoW,11.0,57.0,4.0,13.0,30.0,37.0,26.0,19.0,14.0,13.0,11.0,3.0
Trip Hazard,94.0,80.0,70.0,39.0,78.0,108.0,118.0,114.0,99.0,126.0,122.0,109.0
Utility Works,94.0,80.0,68.0,67.0,43.0,78.0,109.0,78.0,104.0,111.0,72.0,79.0
Vehicle Access,1.0,,1.0,3.0,3.0,,2.0,3.0,1.0,4.0,,1.0
Zebra Crossing,,,3.0,,1.0,3.0,4.0,6.0,3.0,6.0,8.0,7.0
