SHEF_A,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Pest Control,3.0,1.0,,,,,
Phoenix HA,3.0,12.0,1.0,6.0,4.0,2.0,2.0
Potholes,10344.0,10122.0,9541.0,9008.0,8325.0,5378.0,6321.0
Property Damage,2.0,1.0,1.0,2.0,4.0,,2.0
Public Toilets,18.0,18.0,26.0,16.0,17.0,19.0,20.0
Recycling,15.0,17.0,11.0,14.0,7.0,14.0,20.0
Retaining Wall,13.0,13.0,13.0,9.0,9.0,2.0,4.0
Right of Way,258.0,196.0,131.0,160.0,200.0,249.0,317.0
Road Markings,890.0,863.0,891.0,766.0,669.0,275.0,323.0
Road Safety,65.0,64.0,45.0,51.0,30.0,8.0,10.0
Road Surface Defects,2863.0,2975.0,2821.0,2732.0,2511.0,1348.0,1362.0
Road Works,146.0,144.0,143.0,151.0,138.0,57.0,67.0
Road/Pavement Defects,62.0,58.0,50.0,41.0,27.0,37.0,31.0
Rubbish,1409.0,1426.0,1315.0,1154.0,1120.0,908.0,1035.0
Salt Bins,35.0,22.0,33.0,39.0,23.0,4.0,3.0
Shopping Trolley,43.0,38.0,39.0,29.0,24.0,25.0,27.0
Skips,1.0,1.0,1.0,2.0,,2.0,
Spillage on Road,48.0,48.0,40.0,49.0,38.0,19.0,24.0
Street Cleaning,3558.0,3181.0,3037.0,2696.0,2418.0,1845.0,2242.0
Street Furniture,142.0,135.0,134.0,102.0,110.0,47.0,47.0
Street Lights,6712.0,6499.0,6171.0,6007.0,5409.0,3241.0,3660.0
Street Name Plates,201.0,192.0,183.0,180.0,155.0,128.0,161.0
Street Signs,1735.0,1661.0,1709.0,1607.0,1471.0,859.0,911.0
Trade Waste,19.0,11.0,15.0,20.0,20.0,3.0,9.0
Traffic Lights,607.0,624.0,608.0,577.0,495.0,312.0,343.0
Trees and Hedges RoW,168.0,182.0,158.0,146.0,115.0,78.0,97.0
Trees on RoW,21.0,29.0,23.0,8.0,18.0,10.0,22.0
Trip Hazard,207.0,211.0,208.0,178.0,196.0,39.0,48.0
Utility Works,91.0,81.0,74.0,77.0,64.0,37.0,35.0
Vehicle Access,,2.0,,,,,
Verge Damage,42.0,48.0,36.0,57.0,42.0,30.0,30.0
Zebra Crossing,1.0,,,,,,
