SHEF_A,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Manhole Defects,1.0,,,,,10.0,15.0,8.0,10.0,27.0,8.0,3.0
Missed Bin Collection,33.0,38.0,30.0,36.0,41.0,55.0,81.0,94.0,62.0,59.0,69.0,37.0
Noise,1.0,1.0,3.0,,1.0,,3.0,2.0,1.0,,,
Obstruction,233.0,218.0,356.0,282.0,402.0,652.0,751.0,718.0,694.0,632.0,632.0,472.0
Open Spaces/Parks,345.0,307.0,414.0,526.0,618.0,763.0,810.0,649.0,548.0,427.0,337.0,285.0
Other,1139.0,1137.0,1371.0,2141.0,2146.0,2339.0,2473.0,2552.0,2434.0,2360.0,2553.0,2243.0
Overgrown Vegetation,208.0,256.0,403.0,387.0,851.0,1453.0,1627.0,1394.0,919.0,858.0,574.0,319.0
Parking,587.0,618.0,676.0,633.0,712.0,701.0,757.0,580.0,711.0,648.0,662.0,650.0
Pavement /Footway Defects,1337.0,1352.0,1588.0,1476.0,1674.0,2010.0,2361.0,2078.0,1944.0,2085.0,1938.0,1647.0
Pest Control,,1.0,,,1.0,,1.0,,1.0,,,
Phoenix HA,,,2.0,2.0,2.0,2.0,9.0,5.0,2.0,4.0,,2.0
Potholes,5059.0,6377.0,6778.0,4740.0,3733.0,4294.0,3216.0,2734.0,2529.0,4071.0,5644.0,9864.0
Property Damage,2.0,,4.0,1.0,1.0,1.0,1.0,1.0,,,1.0,
Public Toilets,9.0,9.0,5.0,12.0,11.0,14.0,16.0,15.0,20.0,8.0,6.0,9.0
Recycling,7.0,11.0,8.0,13.0,2.0,4.0,7.0,6.0,21.0,8.0,5.0,6.0
Retaining Wall,6.0,6.0,3.0,11.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0
Right of Way,71.0,91.0,146.0,96.0,69.0,102.0,162.0,109.0,146.0,122.0,222.0,175.0
Road Markings,372.0,362.0,392.0,396.0,350.0,334.0,422.0,369.0,429.0,406.0,465.0,380.0
Road Safety,1.0,3.0,8.0,13.0,40.0,78.0,60.0,30.0,19.0,13.0,4.0,4.0
Road Surface Defects,1333.0,1314.0,1489.0,1166.0,1244.0,1393.0,1352.0,1329.0,1210.0,1520.0,1515.0,1747.0
Road Works,88.0,41.0,42.0,48.0,36.0,85.0,55.0,60.0,63.0,133.0,120.0,75.0
Road/Pavement Defects,,,,,,28.0,37.0,46.0,50.0,57.0,60.0,28.0
Rubbish,686.0,679.0,656.0,749.0,714.0,690.0,886.0,776.0,693.0,639.0,591.0,608.0
Salt Bins,89.0,36.0,1.0,2.0,2.0,,1.0,2.0,2.0,6.0,11.0,7.0
Shopping Trolley,21.0,23.0,14.0,20.0,12.0,8.0,15.0,19.0,37.0,20.0,22.0,14.0
Skips,1.0,1.0,1.0,1.0,,,1.0,,,,2.0,
Spillage on Road,9.0,8.0,10.0,24.0,19.0,22.0,22.0,27.0,18.0,32.0,37.0,38.0
Street Cleaning,1757.0,1428.0,1460.0,1303.0,1236.0,1459.0,1832.0,1696.0,1770.0,1475.0,1707.0,1854.0
Street Furniture,11.0,10.0,10.0,21.0,18.0,68.0,104.0,82.0,53.0,123.0,122.0,95.0
Street Lights,4440.0,3113.0,3243.0,1877.0,1550.0,1429.0,1593.0,2415.0,3362.0,4720.0,5540.0,4417.0
Street Name Plates,82.0,89.0,138.0,98.0,96.0,97.0,92.0,85.0,129.0,113.0,100.0,81.0
Street Signs,698.0,640.0,807.0,721.0,749.0,808.0,847.0,855.0,987.0,985.0,1008.0,848.0
Trade Waste,7.0,8.0,8.0,5.0,8.0,7.0,8.0,13.0,14.0,8.0,8.0,3.0
Traffic Lights,308.0,286.0,271.0,257.0,258.0,283.0,291.0,265.0,288.0,343.0,384.0,332.0
Trees and Hedges RoW,27.0,27.0,30.0,35.0,63.0,164.0,161.0,157.0,120.0,79.0,47.0,34.0
Trees on RoW,,6.0,17.0,10.0,17.0,21.0,13.0,14.0,5.0,15.0,8.0,5.0
Trip Hazard,73.0,71.0,78.0,84.0,91.0,80.0,113.0,98.0,133.0,95.0,92.0,79.0
Utility Works,24.0,33.0,35.0,30.0,29.0,42.0,21.0,49.0,29.0,67.0,48.0,52.0
Vehicle Access,,,,,,,,,,,2.0,
Verge Damage,,,1.0,30.0,29.0,17.0,27.0,20.0,13.0,22.0,70.0,56.0
Zebra Crossing,,,,,,1.0,,,,,,
