SHEF_A,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gritting,,,,,9.0,37.0,93.0,9.0,10.0,2.0,18.0,20.0,7.0,10.0
Grounds Maintenance,,,2.0,,,5.0,3.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0
Gullies,,,,2.0,,1.0,42.0,115.0,143.0,467.0,775.0,963.0,1407.0,3450.0
Gully/Manhole Defects,,1.0,6.0,14.0,7.0,,,33.0,224.0,337.0,297.0,459.0,569.0,659.0
Highway Condition,697.0,2337.0,4656.0,5882.0,6645.0,8716.0,10758.0,13134.0,14238.0,15510.0,14351.0,17605.0,16259.0,17181.0
Highway Drainage,,,,,,1.0,6.0,4.0,4.0,15.0,27.0,51.0,49.0,54.0
Ice & Snow,,,,,,,4.0,21.0,35.0,54.0,40.0,23.0,78.0,80.0
Leafing,,,,,,14.0,23.0,200.0,292.0,286.0,432.0,96.0,285.0,371.0
Lewisham Homes,,,,,,,,,,130.0,83.0,165.0,181.0,182.0
Lit Signs,,,,,,,,,1.0,,,,,
Litter/Litter Bin,,,,,83.0,376.0,618.0,1523.0,1090.0,1002.0,936.0,1688.0,3303.0,6393.0
Manhole Covers,,,,,,70.0,261.0,421.0,595.0,505.0,456.0,560.0,1982.0,2876.0
Manhole Defects,,,,,,,,,3.0,32.0,47.0,3.0,82.0,93.0
Missed Bin Collection,,,,,,,,,28.0,141.0,575.0,639.0,635.0,521.0
Noise,,,,,,4.0,16.0,25.0,14.0,10.0,21.0,17.0,12.0,8.0
Obstruction,,,,,,201.0,340.0,502.0,819.0,1740.0,2220.0,2821.0,6042.0,6652.0
Open Spaces/Parks,211.0,359.0,628.0,713.0,698.0,965.0,1039.0,1865.0,2307.0,3219.0,3214.0,3784.0,6029.0,7542.0
Other,2256.0,2491.0,5079.0,6083.0,4916.0,3902.0,4184.0,5709.0,8540.0,10364.0,11290.0,13655.0,24888.0,23480.0
Overgrown Vegetation,,,,1.0,56.0,907.0,1698.0,2178.0,1829.0,2455.0,2526.0,3937.0,9249.0,14731.0
Parking,248.0,650.0,1868.0,1737.0,1810.0,1709.0,1818.0,2883.0,4463.0,6005.0,6909.0,7246.0,7935.0,10312.0
Pavement /Footway Defects,767.0,1859.0,3337.0,4200.0,3916.0,5479.0,6819.0,10629.0,11858.0,13696.0,15273.0,19322.0,21490.0,29573.0
Pest Control,,,1.0,,,1.0,11.0,8.0,5.0,2.0,9.0,4.0,4.0,1.0
Phoenix HA,,,,,,,,,,,1.0,20.0,30.0,31.0
Potholes,762.0,3140.0,7729.0,17832.0,18656.0,16087.0,29500.0,29261.0,27102.0,31871.0,33941.0,86741.0,59039.0,82441.0
Property Damage,,,,,,,20.0,47.0,78.0,85.0,63.0,16.0,12.0,3.0
Protected Trees,,,,,,,,,1.0,,,,,2.0
Public Toilets,10.0,17.0,45.0,50.0,35.0,85.0,111.0,105.0,96.0,80.0,91.0,102.0,134.0,129.0
Recycling,13.0,27.0,31.0,32.0,40.0,40.0,52.0,74.0,64.0,92.0,151.0,115.0,98.0,123.0
Retaining Wall,,,,,,,,,,29.0,51.0,57.0,63.0,77.0
Right of Way,,,9.0,20.0,33.0,99.0,109.0,434.0,1737.0,1106.0,940.0,935.0,1511.0,2491.0
Road Markings,,,,,,2.0,97.0,221.0,586.0,667.0,621.0,1979.0,4677.0,5221.0
Road Safety,,,,,,,,,8.0,3.0,,38.0,273.0,167.0
Road Surface Defects,,,,,2.0,360.0,1743.0,2768.0,3411.0,3808.0,4229.0,9691.0,16612.0,20964.0
Road Works,,,,,,54.0,103.0,142.0,132.0,151.0,149.0,391.0,846.0,2382.0
Road/Pavement Defects,,,,,1492.0,2789.0,3301.0,3325.0,738.0,,,,306.0,754.0
Rubbish,559.0,1023.0,1842.0,2167.0,1856.0,1732.0,1893.0,2925.0,4745.0,6879.0,7295.0,7468.0,8367.0,10064.0
Salt Bins,,,,,,,2.0,,,,,56.0,159.0,20.0
Shopping Trolley,,,,,,16.0,38.0,43.0,8.0,64.0,119.0,173.0,225.0,221.0
Sign or Marking,,,,,,,2.0,10.0,4.0,,,,,
Skips,,,,,11.0,27.0,20.0,27.0,14.0,15.0,23.0,8.0,7.0,8.0
Spillage on Road,,,,,,21.0,88.0,127.0,174.0,171.0,194.0,220.0,266.0,387.0
Street Cleaning,249.0,703.0,1095.0,1459.0,1711.0,2638.0,3727.0,5773.0,7424.0,8717.0,8899.0,12066.0,18977.0,21293.0
Street Furniture,,,,3.0,117.0,241.0,169.0,260.0,62.0,45.0,118.0,126.0,717.0,1688.0
Street Lights,792.0,2629.0,4330.0,5833.0,7566.0,9164.0,10837.0,13892.0,14560.0,14634.0,15870.0,24356.0,37699.0,41402.0
Street Name Plates,135.0,302.0,477.0,522.0,445.0,466.0,448.0,648.0,783.0,846.0,831.0,936.0,1200.0,1795.0
Street Signs,210.0,595.0,1087.0,1314.0,1612.0,2047.0,2490.0,3635.0,4144.0,4713.0,5763.0,7007.0,9953.0,12690.0
To Let Signs,,,,,,3.0,8.0,14.0,4.0,2.0,,1.0,,
Trade Waste,,,,,,,,,,,16.0,71.0,97.0,77.0
Traffic Lights,79.0,357.0,611.0,762.0,890.0,1020.0,1113.0,1639.0,2078.0,2175.0,2155.0,2635.0,3566.0,3615.0
Trees and Hedges RoW,,,,,,,,28.0,475.0,589.0,593.0,609.0,944.0,1103.0
Trees on RoW,,,,,,3.0,17.0,23.0,57.0,89.0,99.0,117.0,131.0,238.0
Trenches,,,1.0,,,,,,,,,,,
Trip Hazard,,,,,,,,25.0,32.0,46.0,40.0,334.0,1087.0,1157.0
Untaxed Vehcile,,,,,24.0,59.0,24.0,37.0,2.0,,,,,
Utility Works,,,2.0,,1.0,,35.0,63.0,90.0,211.0,345.0,296.0,459.0,983.0
Vehicle Access,,,,,,1.0,3.0,4.0,2.0,,,,2.0,19.0
Zebra Crossing,,2.0,1.0,2.0,,,,,1.0,2.0,2.0,1.0,1.0,41.0
