SHEF_A,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Right of Way,844.0,743.0,572.0,562.0,687.0,981.0,1025.0,1002.0,825.0,705.0,789.0,689.0
Road Markings,1149.0,1159.0,971.0,959.0,960.0,1039.0,1153.0,1169.0,1419.0,1431.0,1455.0,1207.0
Road Safety,3.0,13.0,18.0,17.0,56.0,108.0,87.0,63.0,55.0,35.0,20.0,14.0
Road Surface Defects,6023.0,6483.0,6577.0,4643.0,4460.0,4693.0,4655.0,4790.0,4693.0,5322.0,5531.0,5718.0
Road Works,380.0,309.0,294.0,188.0,236.0,366.0,400.0,398.0,455.0,494.0,486.0,344.0
Road/Pavement Defects,1450.0,1416.0,1297.0,900.0,824.0,1114.0,979.0,845.0,998.0,971.0,1020.0,891.0
Rubbish,5041.0,4558.0,5147.0,4854.0,4780.0,5410.0,5857.0,5397.0,4812.0,4381.0,4248.0,4330.0
Salt Bins,94.0,40.0,1.0,4.0,6.0,3.0,2.0,4.0,14.0,23.0,25.0,21.0
Shopping Trolley,65.0,76.0,66.0,77.0,75.0,76.0,82.0,82.0,125.0,68.0,55.0,60.0
Sign or Marking,1.0,3.0,2.0,2.0,,,2.0,1.0,3.0,2.0,,
Skips,8.0,18.0,20.0,15.0,12.0,12.0,15.0,17.0,8.0,10.0,12.0,13.0
Spillage on Road,144.0,135.0,113.0,113.0,102.0,144.0,162.0,156.0,136.0,135.0,153.0,155.0
Street Cleaning,9116.0,7694.0,8085.0,6458.0,6047.0,7068.0,8249.0,7650.0,8353.0,7541.0,9407.0,9063.0
Street Furniture,292.0,243.0,247.0,177.0,198.0,307.0,355.0,350.0,307.0,361.0,387.0,322.0
Street Lights,25662.0,18133.0,15119.0,10044.0,8574.0,8284.0,9450.0,12355.0,17420.0,24707.0,29494.0,24322.0
Street Name Plates,740.0,882.0,871.0,761.0,805.0,873.0,816.0,868.0,858.0,859.0,838.0,663.0
Street Signs,5020.0,4858.0,4822.0,3966.0,3986.0,4476.0,4741.0,4866.0,5176.0,5349.0,5380.0,4620.0
To Let Signs,1.0,2.0,7.0,1.0,4.0,1.0,1.0,5.0,2.0,3.0,5.0,
Trade Waste,19.0,29.0,17.0,18.0,17.0,14.0,22.0,29.0,32.0,19.0,25.0,20.0
Traffic Lights,2083.0,1905.0,1775.0,1557.0,1711.0,1852.0,1895.0,1767.0,1960.0,2154.0,2257.0,1779.0
Trees and Hedges RoW,165.0,233.0,176.0,163.0,371.0,725.0,723.0,588.0,463.0,350.0,232.0,152.0
Trees on RoW,34.0,82.0,37.0,47.0,84.0,129.0,93.0,74.0,70.0,55.0,41.0,28.0
Trenches,,,,,,1.0,,,,,,
Trip Hazard,179.0,167.0,170.0,134.0,174.0,207.0,250.0,256.0,313.0,319.0,297.0,255.0
Untaxed Vehcile,14.0,8.0,13.0,11.0,6.0,21.0,22.0,12.0,9.0,12.0,12.0,6.0
Utility Works,196.0,199.0,188.0,170.0,163.0,201.0,217.0,217.0,231.0,256.0,220.0,227.0
Vehicle Access,3.0,,1.0,6.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0
Verge Damage,97.0,86.0,56.0,48.0,49.0,49.0,57.0,44.0,32.0,54.0,133.0,122.0
Zebra Crossing,1.0,1.0,4.0,,2.0,4.0,4.0,9.0,4.0,6.0,10.0,8.0
