SHEF_A,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lit Signs,,,,,,,,,1.0,,,,,
Litter/Litter Bin,,,,,41.0,136.0,160.0,329.0,296.0,415.0,376.0,420.0,915.0,2238.0
Manhole Covers,,,,,,9.0,54.0,125.0,177.0,206.0,246.0,386.0,1267.0,1700.0
Manhole Defects,,,,,,,,,3.0,32.0,47.0,3.0,67.0,45.0
Missed Bin Collection,,,,,,,,,1.0,141.0,575.0,639.0,622.0,468.0
Noise,,,,,,2.0,4.0,15.0,14.0,10.0,21.0,17.0,12.0,8.0
Obstruction,,,,,,28.0,43.0,78.0,153.0,276.0,389.0,942.0,2479.0,2356.0
Open Spaces/Parks,211.0,359.0,628.0,701.0,687.0,908.0,882.0,1559.0,1932.0,2741.0,2794.0,3141.0,4421.0,4956.0
Other,2256.0,2491.0,5079.0,5892.0,4804.0,3765.0,3793.0,5044.0,7152.0,8865.0,9354.0,11016.0,20796.0,17649.0
Overgrown Vegetation,,,,1.0,23.0,139.0,264.0,471.0,528.0,917.0,966.0,1465.0,3924.0,7579.0
Parking,248.0,650.0,1868.0,1701.0,1771.0,1643.0,1707.0,2695.0,4071.0,5574.0,6607.0,6832.0,7100.0,8739.0
Pavement /Footway Defects,767.0,1859.0,3336.0,3850.0,3684.0,4587.0,4819.0,7785.0,8937.0,10682.0,11286.0,12517.0,14769.0,19955.0
Pest Control,,,1.0,,,,2.0,3.0,5.0,2.0,9.0,4.0,4.0,1.0
Phoenix HA,,,,,,,,,,,1.0,20.0,30.0,31.0
Potholes,762.0,3140.0,7728.0,17089.0,18241.0,15401.0,25826.0,24025.0,19757.0,25054.0,25476.0,50586.0,40176.0,61347.0
Property Damage,,,,,,,4.0,14.0,24.0,37.0,25.0,16.0,12.0,3.0
Protected Trees,,,,,,,,,1.0,,,,,2.0
Public Toilets,10.0,17.0,45.0,50.0,34.0,75.0,83.0,87.0,88.0,69.0,88.0,90.0,120.0,110.0
Recycling,13.0,27.0,31.0,32.0,40.0,40.0,52.0,74.0,64.0,92.0,151.0,115.0,98.0,123.0
Retaining Wall,,,,,,,,,,2.0,2.0,18.0,11.0,24.0
Right of Way,,,9.0,20.0,33.0,99.0,91.0,249.0,414.0,533.0,694.0,883.0,1190.0,1331.0
Road Markings,,,,,,2.0,28.0,51.0,160.0,224.0,266.0,607.0,1642.0,2291.0
Road Safety,,,,,,,,,8.0,3.0,,22.0,182.0,99.0
Road Surface Defects,,,,,2.0,66.0,381.0,830.0,799.0,1189.0,1220.0,3085.0,6456.0,9935.0
Road Works,,,,,,7.0,17.0,30.0,40.0,34.0,37.0,117.0,441.0,1621.0
Road/Pavement Defects,,,,,998.0,2413.0,3301.0,3325.0,738.0,,,,141.0,498.0
Rubbish,559.0,1023.0,1842.0,2044.0,1812.0,1730.0,1885.0,2854.0,4527.0,6215.0,6710.0,6802.0,7594.0,9003.0
Salt Bins,,,,,,,2.0,,,,,5.0,12.0,6.0
Shopping Trolley,,,,,,8.0,24.0,23.0,8.0,64.0,119.0,173.0,225.0,221.0
Sign or Marking,,,,,,,2.0,10.0,4.0,,,,,
Skips,,,,,9.0,26.0,20.0,26.0,6.0,4.0,5.0,3.0,2.0,3.0
Spillage on Road,,,,,,,10.0,28.0,34.0,59.0,70.0,57.0,76.0,178.0
Street Cleaning,249.0,703.0,1095.0,1441.0,1643.0,2116.0,2382.0,3187.0,4082.0,5224.0,5850.0,7933.0,11410.0,12494.0
Street Furniture,,,,3.0,92.0,210.0,169.0,260.0,62.0,12.0,31.0,34.0,352.0,992.0
Street Lights,792.0,2629.0,4330.0,5658.0,7366.0,8400.0,9074.0,11176.0,11185.0,11910.0,12364.0,14532.0,20689.0,23627.0
Street Name Plates,135.0,302.0,477.0,510.0,432.0,426.0,407.0,557.0,621.0,696.0,702.0,736.0,920.0,1297.0
Street Signs,210.0,595.0,1087.0,1284.0,1554.0,1845.0,1913.0,2871.0,2986.0,3585.0,4244.0,4439.0,5713.0,7288.0
To Let Signs,,,,,,2.0,7.0,7.0,4.0,2.0,,1.0,,
Trade Waste,,,,,,,,,,,16.0,71.0,96.0,75.0
Traffic Lights,79.0,357.0,611.0,743.0,874.0,993.0,1048.0,1500.0,1725.0,1812.0,1822.0,2048.0,2613.0,2575.0
Trees and Hedges RoW,,,,,,,,7.0,64.0,94.0,153.0,204.0,278.0,372.0
Trees on RoW,,,,,,3.0,17.0,23.0,46.0,74.0,79.0,89.0,103.0,176.0
Trenches,,,1.0,,,,,,,,,,,
Trip Hazard,,,,,,,,25.0,32.0,46.0,40.0,189.0,661.0,626.0
Untaxed Vehcile,,,,,24.0,54.0,24.0,37.0,2.0,,,,,
Utility Works,,,2.0,,1.0,,20.0,38.0,47.0,59.0,94.0,71.0,196.0,719.0
Vehicle Access,,,,,,1.0,3.0,4.0,2.0,,,,2.0,19.0
Verge Damage,,,,,,,,,,,,,55.0,135.0
Zebra Crossing,,2.0,1.0,2.0,,,,,1.0,2.0,2.0,1.0,1.0,41.0
