SHEF_A,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Road Markings,993.0,920.0,944.0,900.0,770.0,342.0,402.0
Road Safety,72.0,71.0,51.0,61.0,40.0,8.0,11.0
Road Surface Defects,3859.0,3977.0,3854.0,3972.0,3546.0,2327.0,2428.0
Road Works,417.0,416.0,434.0,410.0,350.0,163.0,154.0
Road/Pavement Defects,1885.0,1905.0,1902.0,1737.0,1569.0,1132.0,1284.0
Rubbish,9306.0,8963.0,8356.0,8000.0,7134.0,5864.0,6977.0
Salt Bins,3.0,2.0,4.0,5.0,4.0,4.0,3.0
Shopping Trolley,153.0,145.0,128.0,113.0,115.0,104.0,107.0
Sign or Marking,3.0,,2.0,4.0,2.0,2.0,3.0
Skips,16.0,25.0,7.0,16.0,20.0,9.0,11.0
Spillage on Road,89.0,78.0,85.0,75.0,73.0,64.0,48.0
Street Cleaning,10280.0,9903.0,9207.0,8785.0,7624.0,6424.0,7586.0
Street Furniture,400.0,350.0,365.0,340.0,324.0,207.0,231.0
Street Lights,23796.0,23873.0,23125.0,21941.0,19274.0,14690.0,17033.0
Street Name Plates,1325.0,1279.0,1328.0,1195.0,1050.0,905.0,1136.0
Street Signs,6356.0,6455.0,6289.0,6060.0,5278.0,4271.0,4905.0
To Let Signs,4.0,6.0,6.0,2.0,2.0,2.0,1.0
Trade Waste,49.0,40.0,51.0,38.0,43.0,19.0,18.0
Traffic Lights,3012.0,3166.0,3183.0,2998.0,2552.0,1857.0,2032.0
Trees and Hedges RoW,183.0,206.0,182.0,166.0,163.0,118.0,154.0
Trees on RoW,100.0,117.0,89.0,70.0,84.0,55.0,95.0
Trenches,,,,1.0,,,
Trip Hazard,295.0,315.0,295.0,289.0,286.0,61.0,78.0
Untaxed Vehcile,25.0,25.0,25.0,24.0,21.0,8.0,13.0
Utility Works,239.0,222.0,206.0,203.0,191.0,103.0,83.0
Vehicle Access,6.0,6.0,4.0,6.0,2.0,6.0,1.0
Verge Damage,28.0,27.0,41.0,30.0,28.0,15.0,21.0
Zebra Crossing,8.0,7.0,9.0,8.0,9.0,5.0,7.0
