SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Fly-tipping,1970.0,768.0,341.0,264.0,292.0,689.0,2960.0,9152.0,16756.0,20000.0,20822.0,21036.0,18752.0,17895.0,17610.0,16868.0,16133.0,14738.0,13341.0,11490.0,9970.0,7972.0,6129.0,3777.0
Flyposting,57.0,51.0,18.0,8.0,6.0,8.0,54.0,157.0,343.0,454.0,458.0,462.0,466.0,544.0,445.0,427.0,461.0,429.0,399.0,332.0,298.0,221.0,185.0,116.0
Garden Waste,4.0,1.0,2.0,1.0,,2.0,29.0,60.0,102.0,234.0,383.0,377.0,271.0,230.0,293.0,371.0,535.0,141.0,54.0,55.0,63.0,73.0,34.0,17.0
Gates/Stiles RoW,,1.0,,,,,,2.0,2.0,12.0,9.0,10.0,4.0,6.0,11.0,8.0,8.0,3.0,6.0,5.0,3.0,2.0,1.0,2.0
General Highways Enquiries,41.0,19.0,9.0,8.0,4.0,9.0,33.0,83.0,194.0,213.0,211.0,219.0,222.0,216.0,225.0,220.0,214.0,195.0,172.0,195.0,135.0,101.0,119.0,71.0
Graffiti,472.0,173.0,94.0,87.0,47.0,94.0,254.0,807.0,1831.0,2473.0,2556.0,2615.0,2607.0,2673.0,2752.0,2777.0,2775.0,2472.0,2210.0,1908.0,2012.0,1717.0,1341.0,888.0
Grass/Weed Control,43.0,18.0,10.0,2.0,7.0,25.0,85.0,186.0,348.0,487.0,579.0,529.0,484.0,488.0,499.0,449.0,403.0,382.0,313.0,297.0,311.0,269.0,200.0,93.0
Grids and Drains,,1.0,2.0,,1.0,,8.0,11.0,27.0,10.0,14.0,13.0,9.0,13.0,8.0,9.0,16.0,9.0,10.0,9.0,4.0,4.0,13.0,1.0
Grit Bins,1.0,,,,,,1.0,4.0,13.0,24.0,30.0,42.0,18.0,16.0,17.0,22.0,16.0,8.0,1.0,3.0,2.0,1.0,1.0,1.0
Gritting,,,,,,1.0,2.0,2.0,5.0,6.0,9.0,4.0,6.0,3.0,11.0,5.0,3.0,7.0,5.0,6.0,6.0,7.0,1.0,7.0
Grounds Maintenance,,,,,,,1.0,1.0,1.0,3.0,,2.0,2.0,6.0,2.0,5.0,1.0,,3.0,,4.0,2.0,1.0,
Gullies,12.0,5.0,2.0,3.0,3.0,2.0,12.0,62.0,119.0,233.0,257.0,278.0,208.0,252.0,223.0,238.0,214.0,168.0,119.0,127.0,102.0,87.0,67.0,23.0
Gully/Manhole Defects,9.0,9.0,3.0,2.0,1.0,4.0,6.0,25.0,39.0,53.0,65.0,85.0,59.0,59.0,71.0,76.0,61.0,54.0,52.0,68.0,45.0,32.0,54.0,20.0
Highway Condition,1789.0,889.0,492.0,308.0,222.0,431.0,1211.0,3389.0,6619.0,8730.0,9085.0,9183.0,9243.0,9203.0,9098.0,9282.0,9285.0,8942.0,8880.0,7939.0,7439.0,6843.0,5744.0,3660.0
Highway Drainage,1.0,1.0,,1.0,,2.0,1.0,2.0,21.0,16.0,21.0,14.0,19.0,12.0,15.0,12.0,14.0,17.0,6.0,9.0,7.0,10.0,8.0,2.0
Ice & Snow,,,,,,,2.0,1.0,7.0,14.0,7.0,7.0,6.0,4.0,9.0,3.0,6.0,3.0,2.0,5.0,3.0,7.0,4.0,1.0
Leafing,2.0,2.0,,,2.0,2.0,10.0,21.0,41.0,47.0,51.0,53.0,39.0,35.0,36.0,63.0,42.0,39.0,22.0,24.0,15.0,23.0,15.0,7.0
Lewisham Homes,6.0,3.0,1.0,1.0,1.0,4.0,28.0,61.0,43.0,54.0,64.0,66.0,46.0,41.0,57.0,45.0,41.0,43.0,33.0,31.0,31.0,22.0,10.0,9.0
Lit Signs,,,,,,,,,,,,,,,,,,,1.0,,,,,
Litter/Litter Bin,28.0,13.0,3.0,5.0,7.0,18.0,63.0,221.0,408.0,519.0,411.0,493.0,443.0,487.0,309.0,343.0,313.0,246.0,285.0,212.0,173.0,163.0,103.0,60.0
Manhole Covers,31.0,14.0,5.0,3.0,4.0,11.0,42.0,103.0,226.0,394.0,407.0,399.0,345.0,348.0,337.0,373.0,255.0,208.0,142.0,142.0,114.0,108.0,100.0,59.0
Manhole Defects,1.0,,2.0,,,,1.0,7.0,6.0,13.0,10.0,17.0,19.0,10.0,19.0,14.0,13.0,19.0,19.0,6.0,7.0,7.0,6.0,1.0
Missed Bin Collection,9.0,3.0,,,,6.0,40.0,103.0,134.0,218.0,343.0,215.0,181.0,212.0,223.0,211.0,114.0,86.0,115.0,73.0,60.0,37.0,40.0,23.0
Noise,3.0,3.0,,,,,3.0,2.0,2.0,4.0,7.0,6.0,7.0,2.0,9.0,7.0,5.0,8.0,7.0,6.0,6.0,7.0,6.0,3.0
Obstruction,29.0,36.0,18.0,15.0,16.0,30.0,51.0,154.0,367.0,604.0,695.0,598.0,596.0,513.0,533.0,520.0,492.0,346.0,256.0,252.0,227.0,176.0,146.0,74.0
Open Spaces/Parks,254.0,127.0,58.0,35.0,32.0,55.0,249.0,717.0,1348.0,1874.0,1998.0,1970.0,1939.0,1849.0,1833.0,1952.0,1773.0,1575.0,1444.0,1322.0,1191.0,1038.0,795.0,492.0
Other,1188.0,632.0,354.0,197.0,242.0,319.0,890.0,2783.0,5670.0,7533.0,7950.0,7903.0,7660.0,7721.0,8102.0,8208.0,7253.0,6148.0,5630.0,5285.0,5175.0,4665.0,3979.0,2469.0
Overgrown Vegetation,90.0,45.0,23.0,13.0,21.0,50.0,134.0,306.0,807.0,1298.0,1564.0,1644.0,1448.0,1414.0,1452.0,1367.0,1124.0,703.0,598.0,557.0,513.0,515.0,404.0,187.0
Parking,620.0,301.0,151.0,92.0,81.0,157.0,407.0,1202.0,2359.0,3469.0,3483.0,3425.0,3510.0,3562.0,3441.0,3897.0,3667.0,3285.0,3054.0,2991.0,2788.0,2342.0,1855.0,1067.0
Pavement /Footway Defects,1146.0,479.0,261.0,173.0,136.0,263.0,854.0,2447.0,5022.0,7566.0,8276.0,8262.0,8257.0,7828.0,8098.0,8016.0,7765.0,6667.0,5774.0,5579.0,5305.0,4537.0,3833.0,2289.0
Pest Control,,,,,,,1.0,,,2.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,,1.0,2.0,3.0,4.0,,
Phoenix HA,1.0,,,,,,,,11.0,8.0,8.0,13.0,4.0,1.0,7.0,4.0,3.0,6.0,4.0,2.0,3.0,1.0,1.0,5.0
Potholes,3493.0,1469.0,808.0,552.0,508.0,898.0,2664.0,8377.0,17441.0,22067.0,22863.0,23479.0,23353.0,23769.0,23325.0,23263.0,23288.0,21166.0,19309.0,18390.0,17674.0,16107.0,12899.0,7446.0
Property Damage,3.0,2.0,1.0,,,1.0,1.0,3.0,5.0,6.0,8.0,10.0,10.0,10.0,10.0,9.0,20.0,9.0,8.0,3.0,5.0,5.0,1.0,5.0
Protected Trees,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,
Public Toilets,16.0,6.0,1.0,1.0,2.0,6.0,5.0,19.0,30.0,51.0,71.0,67.0,53.0,78.0,71.0,91.0,61.0,62.0,66.0,56.0,49.0,43.0,31.0,30.0
Recycling,11.0,2.0,2.0,1.0,1.0,2.0,8.0,29.0,61.0,124.0,99.0,74.0,74.0,70.0,59.0,47.0,50.0,47.0,50.0,38.0,36.0,29.0,21.0,17.0
Retaining Wall,,1.0,,,,,,,5.0,3.0,1.0,5.0,5.0,5.0,6.0,2.0,6.0,3.0,5.0,6.0,,1.0,1.0,2.0
Right of Way,158.0,34.0,2.0,1.0,5.0,7.0,29.0,77.0,180.0,290.0,459.0,414.0,330.0,318.0,330.0,402.0,385.0,387.0,416.0,411.0,276.0,193.0,192.0,250.0
Road Markings,49.0,24.0,24.0,9.0,7.0,13.0,40.0,106.0,203.0,410.0,441.0,458.0,444.0,472.0,452.0,459.0,331.0,230.0,217.0,160.0,203.0,198.0,195.0,126.0
Road Safety,,,,1.0,,,3.0,5.0,10.0,38.0,43.0,36.0,29.0,30.0,39.0,34.0,16.0,4.0,4.0,4.0,4.0,7.0,6.0,1.0
Road Surface Defects,190.0,80.0,30.0,32.0,24.0,63.0,297.0,694.0,1225.0,1840.0,1972.0,1970.0,1916.0,1939.0,1765.0,1871.0,1653.0,1265.0,1142.0,1044.0,1018.0,812.0,708.0,413.0
Road Works,14.0,8.0,7.0,8.0,7.0,10.0,17.0,53.0,142.0,208.0,266.0,218.0,166.0,176.0,179.0,197.0,165.0,130.0,82.0,60.0,68.0,65.0,57.0,41.0
Road/Pavement Defects,193.0,77.0,41.0,20.0,18.0,53.0,61.0,189.0,488.0,802.0,856.0,796.0,813.0,806.0,815.0,728.0,793.0,688.0,652.0,542.0,577.0,560.0,486.0,360.0
Rubbish,531.0,300.0,161.0,104.0,85.0,121.0,563.0,1651.0,3233.0,4213.0,4119.0,4258.0,3940.0,3913.0,3808.0,3753.0,3613.0,3274.0,3015.0,2706.0,2427.0,2094.0,1652.0,1066.0
Salt Bins,,,,,,,,2.0,1.0,3.0,3.0,6.0,,3.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,
Shopping Trolley,15.0,1.0,1.0,,1.0,1.0,12.0,34.0,65.0,86.0,80.0,75.0,57.0,46.0,52.0,63.0,38.0,53.0,56.0,41.0,27.0,22.0,18.0,21.0
Sign or Marking,,,,,,,,,,3.0,,1.0,5.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,
Skips,1.0,,,1.0,,1.0,1.0,,3.0,5.0,6.0,6.0,6.0,4.0,14.0,3.0,6.0,9.0,8.0,5.0,4.0,11.0,5.0,5.0
Spillage on Road,6.0,2.0,2.0,1.0,,9.0,10.0,18.0,45.0,51.0,42.0,43.0,41.0,21.0,28.0,41.0,36.0,23.0,22.0,27.0,12.0,22.0,5.0,5.0
Street Cleaning,498.0,228.0,126.0,94.0,79.0,187.0,662.0,2063.0,3905.0,5018.0,4826.0,4521.0,4438.0,4229.0,4040.0,4131.0,3837.0,3505.0,3129.0,2685.0,2518.0,2232.0,1728.0,1130.0
Street Furniture,30.0,12.0,9.0,2.0,3.0,3.0,17.0,43.0,85.0,166.0,194.0,178.0,188.0,178.0,192.0,171.0,178.0,107.0,121.0,86.0,77.0,68.0,59.0,50.0
Street Lights,3442.0,1777.0,904.0,616.0,467.0,784.0,1842.0,3326.0,5263.0,8064.0,7960.0,7757.0,7126.0,6537.0,6636.0,6373.0,7103.0,8057.0,8987.0,10420.0,10992.0,11582.0,10951.0,6766.0
Street Name Plates,98.0,67.0,34.0,18.0,18.0,15.0,69.0,149.0,290.0,470.0,572.0,579.0,592.0,572.0,568.0,593.0,578.0,545.0,451.0,443.0,460.0,420.0,364.0,253.0
Street Signs,639.0,332.0,159.0,115.0,110.0,166.0,396.0,912.0,1807.0,2404.0,2635.0,2687.0,2660.0,2506.0,2646.0,2698.0,2708.0,2409.0,2239.0,2160.0,2177.0,2010.0,1793.0,1246.0
To Let Signs,,,,,,1.0,,,2.0,1.0,,1.0,3.0,1.0,2.0,,3.0,3.0,1.0,1.0,,,2.0,2.0
Trade Waste,1.0,,,1.0,,,5.0,15.0,21.0,18.0,20.0,25.0,28.0,14.0,23.0,13.0,21.0,13.0,8.0,9.0,5.0,9.0,3.0,6.0
Traffic Lights,280.0,142.0,57.0,48.0,51.0,81.0,195.0,623.0,1305.0,1497.0,1257.0,1142.0,1166.0,1210.0,1198.0,1183.0,1117.0,1118.0,1042.0,946.0,882.0,863.0,830.0,567.0
Trees and Hedges RoW,12.0,,2.0,,2.0,6.0,20.0,51.0,52.0,88.0,86.0,86.0,70.0,77.0,84.0,97.0,72.0,53.0,63.0,59.0,66.0,55.0,39.0,32.0
Trees on RoW,5.0,2.0,1.0,,,1.0,6.0,16.0,27.0,53.0,41.0,58.0,49.0,44.0,50.0,47.0,31.0,47.0,28.0,23.0,26.0,19.0,20.0,16.0
Trenches,,,,,,,,,,,,,,,,,1.0,,,,,,,
Trip Hazard,4.0,1.0,,3.0,1.0,,2.0,24.0,43.0,160.0,192.0,215.0,163.0,181.0,185.0,147.0,119.0,41.0,37.0,22.0,27.0,19.0,23.0,10.0
Untaxed Vehcile,,,1.0,,,,2.0,3.0,5.0,8.0,14.0,11.0,6.0,10.0,13.0,10.0,9.0,4.0,14.0,10.0,4.0,7.0,8.0,2.0
Utility Works,3.0,4.0,3.0,3.0,5.0,6.0,18.0,28.0,89.0,106.0,140.0,101.0,96.0,89.0,95.0,100.0,88.0,60.0,67.0,47.0,29.0,28.0,26.0,16.0
Vehicle Access,,,,,,,,1.0,,,1.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,,1.0
Verge Damage,1.0,,,,,,1.0,3.0,13.0,20.0,21.0,24.0,15.0,18.0,16.0,19.0,12.0,6.0,3.0,4.0,3.0,6.0,4.0,1.0
Zebra Crossing,1.0,,2.0,,,,,,2.0,7.0,3.0,4.0,2.0,1.0,3.0,3.0,7.0,2.0,1.0,5.0,4.0,3.0,2.0,1.0
