category,SHEF_C,SHEF_C_CODE
"Damaged road edge, encroaches more than 100mm",Road Safety & Defects,C7
Damaged road sign,Road Safety & Defects,C7
Damaged street nameplate,Environmental Disruptions,C2
Damaged/missing boundary markers,Road Safety & Defects,C7
Damaged/missing cats eye,Road Safety & Defects,C7
Damaged/missing paving slab,Road Safety & Defects,C7
Dangerous Building,Environmental Disruptions,C2
Dangerous structure,Environmental Disruptions,C2
Dead animal,Environmental Health,C3
Dead animals,Environmental Health,C3
Debris & spillage,Environmental Health,C3
Debris / Obstructions,Environmental Health,C3
Debris/Spillage,Environmental Health,C3
Defective road markings or signs,Road Safety & Defects,C7
Demo,Other,C5
Discarded Syringes,Environmental Health,C3
Ditch issue,Environmental Disruptions,C2
Dog and litter bins,Environmental Health,C3
Dog Bin,Environmental Health,C3
Dog Bin overflow,Environmental Health,C3
Dog bin overflowing,Environmental Health,C3
Dog fouling,Environmental Health,C3
Dog Mess,Environmental Health,C3
Dog Waste Bin,Environmental Health,C3
Dog Waste Bin on a verge or open space,Environmental Health,C3
Dogs and Dogs Fouling,Environmental Health,C3
Drain or Gully,Environmental Health,C3
Drainage,Environmental Health,C3
Drainage or Flooding on a public right o,Environmental Health,C3
Drainage Or Flooding on a public right of way,Environmental Health,C3
Drains,Environmental Health,C3
Dumped cylinder,Environmental Health,C3
Dumped rubbish,Environmental Health,C3
Dying or diseased tree,Environmental Disruptions,C2
Enforcement,Abandoned Vehicles & Parking,C8
Environmental health,Environmental Health,C3
Excessive or dangerous littering,Environmental Health,C3
Exposed cables/wires,Environmental Health,C3
Faded road markings,Road Safety & Defects,C7
Fallen tree across road or pavement,Environmental Disruptions,C2
Fault with temporary traffic signals,Road Safety & Defects,C7
Faulty street light,Road Safety & Defects,C7
Faulty street sign,Road Safety & Defects,C7
Fences,Environmental Disruptions,C2
Fences & barriers,Environmental Disruptions,C2
Fire hydrants,Environmental Disruptions,C2
Flooded subway,Environmental Health,C3
Flooding,Environmental Health,C3
Flooding of a road or pavement,Environmental Health,C3
Flooding on a road or footway,Environmental Health,C3
Flooding or standing water on road,Environmental Health,C3
Floral displays,Other,C5
Fly Posting,Incivilities,C4
Fly tipping,Environmental Health,C3
Fly Tipping on a public right of way,Environmental Health,C3
"Fly Tipping on a road, footway, verge or",Environmental Health,C3
"Fly Tipping on a road, footway, verge or open space",Environmental Health,C3
Flyposting,Incivilities,C4
Fly-Posting,Incivilities,C4
Flyposting (not by roadside),Incivilities,C4
Flyposting (on road or roadside),Incivilities,C4
Flytipping,Environmental Health,C3
Fly-Tipping,Environmental Health,C3
Flytipping and dumped rubbish,Environmental Health,C3
Footpath / pavement problem,Road Safety & Defects,C7
Footpaths & rights of way,Access,C1
Footpaths/ Rights of way (usually not ta,Access,C1
Footpaths/ Rights of way (usually not tarmac),Access,C1
Footway Defect,Access,C1
Footway Defect on a road or footway,Access,C1
Footway or Footpath,Access,C1
Garden Waste,Environmental Health,C3
Gates/Stiles on a public right of way,Access,C1
General Highways Enquiry,Road Safety & Defects,C7
Graffiti,Incivilities,C4
Graffiti (Offensive),Incivilities,C4
Graffiti and flyposting,Incivilities,C4
Graffiti on bridges/subways,Incivilities,C4
Graffiti on council buildings,Incivilities,C4
Graffiti on Council Property,Incivilities,C4
Grafitti,Incivilities,C4
Grass and Hedges,Environmental Disruptions,C2
Grass Cutting,Environmental Disruptions,C2
Grass Cutting on a public right of way,Access,C1
Grass Cutting on a verge or open space,Environmental Disruptions,C2
Grass needs cutting,Environmental Disruptions,C2
Grass verges,Environmental Disruptions,C2
Grass/Weeds,Environmental Disruptions,C2
Grids and Drains,Environmental Health,C3
Grit bin issue,Road Safety & Defects,C7
Grit bin refills,Road Safety & Defects,C7
Grit Bins,Road Safety & Defects,C7
Gritting,Road Safety & Defects,C7
Grounds Maintenance,Road Safety & Defects,C7
Gullies,Environmental Health,C3
Gully,Environmental Health,C3
Gully and Catchpits,Environmental Health,C3
Gully or Manhole,Environmental Health,C3
Gully or manhole defect,Environmental Health,C3
Gully/Drainage,Environmental Health,C3
Hazardous or fallen trees,Environmental Disruptions,C2
Hazardous spillage on road,Environmental Health,C3
Hedge problem,Environmental Disruptions,C2
Hedges / trees on rights of way,Access,C1
Hedges / Trees on road or verge,Access,C1
Highway Condition,Road Safety & Defects,C7
Highway Condition (Assets),Road Safety & Defects,C7
Highway Condition Enquiry,Road Safety & Defects,C7
Highway Drainage or Flooding,Environmental Health,C3
Highway Improvements on a road or footwa,Road Safety & Defects,C7
Highway Improvements on a road or footway,Road Safety & Defects,C7
Highway Schemes,Road Safety & Defects,C7
Highways,Road Safety & Defects,C7
Highways Drainage,Environmental Health,C3
Highways Drainage on a road or footway,Environmental Health,C3
Highways Maintenance,Road Safety & Defects,C7
Household bins left out,Environmental Health,C3
Ice,Road Safety & Defects,C7
Ice & snow,Road Safety & Defects,C7
Ice/Snow,Road Safety & Defects,C7
Illegal advertising,Incivilities,C4
Illegal parking,Abandoned Vehicles & Parking,C8
Illegally parked vehicle,Abandoned Vehicles & Parking,C8
Illuminated Sign,Road Safety & Defects,C7
Iluminated Bollard,Road Safety & Defects,C7
Inspection Covers,Environmental Health,C3
Japanese knotweed / ragwort,Environmental Disruptions,C2
Kerb damage / issue,Environmental Disruptions,C2
Kerbs,Environmental Disruptions,C2
Leafing,Environmental Disruptions,C2
Leaves,Environmental Disruptions,C2
Lewisham Homes,Other,C5
Light on during the day,Road Safety & Defects,C7
Lines and Markings (Council Car Park),Road Safety & Defects,C7
Lit Bollards (Electrical),Road Safety & Defects,C7
Lit signs & bollards,Road Safety & Defects,C7
Lit Signs (Electrical),Other,C5
Litter,Environmental Health,C3
Litter bin,Environmental Health,C3
Litter bin damaged,Environmental Health,C3
Litter bin full,Environmental Health,C3
Litter Bin on a verge or open space,Environmental Health,C3
Litter Bin overflow,Environmental Health,C3
Litter Bin overflow in Parks & Open spaces,Environmental Health,C3
Litter Bin Overflowing,Environmental Health,C3
Litter in Parks & Open spaces,Environmental Health,C3
Litter in the street,Environmental Health,C3
Loose chippings,Road Safety & Defects,C7
Loose/missing/chipped kerbstone,Environmental Disruptions,C2
Manhole,Environmental Health,C3
Manhole / Drain cover,Environmental Health,C3
Manhole Cover,Environmental Health,C3
Manhole covers,Environmental Health,C3
Manhole/drain cover on pavement/verge,Environmental Health,C3
Manhole/drain cover on road/cycleway,Environmental Health,C3
Manholes,Environmental Health,C3
Miscellaneous,Other,C5
Missed bin collection,Environmental Health,C3
Missed Collection,Environmental Health,C3
Missed Collection (Green Waste),Environmental Health,C3
Missed Food Waste Collection,Environmental Health,C3
Missed Grass Cutting,Environmental Disruptions,C2
Missing Gully/Manhole,Environmental Health,C3
Missing safety fence,Road Safety & Defects,C7
Missing/Broken Sign on a public right of,Access,C1
Missing/Broken Sign on a public right of way,Access,C1
Motorways Defects,Road Safety & Defects,C7
Mud / Slippery surface,Road Safety & Defects,C7
Mud and Debris,Environmental Health,C3
Mud or Debris on the road,Environmental Health,C3
Multiple potholes (various sizes),Road Safety & Defects,C7
Needles,Environmental Health,C3
Noise nuisance,Incivilities,C4
Noxious weeds,Environmental Disruptions,C2
Objects in the road,Access,C1
Obstruction,Access,C1
Obstruction on a public right of way,Access,C1
Obstruction on Highways / Sight Lines,Access,C1
Obstruction on pavement/verge,Access,C1
Obstruction on road or pavement,Access,C1
Obstruction on road/cycleway,Access,C1
Obstruction or hazard on road,Access,C1
"Obstructions (skips, A boards)",Access,C1
Obstructive vegetation,Environmental Disruptions,C2
Off Street Parking,Abandoned Vehicles & Parking,C8
Offensive Graffiti on Property,Incivilities,C4
Oil spillage,Environmental Health,C3
On Street Parking,Abandoned Vehicles & Parking,C8
On-street parking,Abandoned Vehicles & Parking,C8
Other,Other,C5
Overflowing litter bin,Environmental Health,C3
Overflowing Street Litter Bin,Environmental Health,C3
Overgrown tree/hedges,Environmental Disruptions,C2
Overgrown vegetation,Environmental Disruptions,C2
Overhanging Foliage,Environmental Disruptions,C2
Overhanging tree/foliage/bush,Environmental Disruptions,C2
Overhanging vegetation,Environmental Disruptions,C2
Overhanging vegetation from private land,Environmental Disruptions,C2
Parking,Abandoned Vehicles & Parking,C8
Parking enforcement,Abandoned Vehicles & Parking,C8
Parking Equipment (Council Car Park),Abandoned Vehicles & Parking,C8
Parking queries/reports,Abandoned Vehicles & Parking,C8
Parks,Public Space,C6
Parks & Green Spaces,Public Space,C6
Parks & open spaces,Public Space,C6
Parks and Greenspace,Public Space,C6
Parks and playgrounds,Public Space,C6
Parks and playing fields,Public Space,C6
Parks repairs,Environmental Disruptions,C2
Parks/landscapes,Public Space,C6
Pavement and road repairs,Road Safety & Defects,C7
Pavement Damaged/Cracked,Road Safety & Defects,C7
Pavement defect,Road Safety & Defects,C7
Pavement Jetting,Road Safety & Defects,C7
Pavements,Road Safety & Defects,C7
Pavements & kerbs,Road Safety & Defects,C7
Pavements/footpaths,Road Safety & Defects,C7
Pedestrian guard rail missing/damaged,Access,C1
Permanent Traffic Signals/Road Crossings,Road Safety & Defects,C7
Pest Control,Environmental Health,C3
Phoenix HA,Other,C5
Play Area Issues on a verge or open spac,Public Space,C6
Play Area Issues on a verge or open space,Public Space,C6
Play area safety issue,Public Space,C6
Playground Equipment,Environmental Disruptions,C2
Playing Fields,Public Space,C6
Pole/signal knocked down,Road Safety & Defects,C7
Poop Scoop Bins,Environmental Health,C3
Poor Parking (Council Car Park),Abandoned Vehicles & Parking,C8
Pothole,Road Safety & Defects,C7
Pothole (Council Car Park),Road Safety & Defects,C7
Pothole / Surface Defect,Road Safety & Defects,C7
Pothole on a road or footway,Road Safety & Defects,C7
Pothole on pavement/verge,Road Safety & Defects,C7
Pothole on road/cycleway,Road Safety & Defects,C7
Potholes,Road Safety & Defects,C7
Potholes (large),Road Safety & Defects,C7
Potholes (smaller than 30cm by 4cm),Road Safety & Defects,C7
Property damage,Environmental Disruptions,C2
Protected trees (in Conservations Areas),Other,C5
Public Conveniences,Public Space,C6
Public Right of Way (including Cycleway),Access,C1
Public rights of way,Access,C1
"Public rights of way, alleyways and brid",Access,C1
"Public rights of way, alleyways and bridlepaths",Access,C1
Public Rights of Ways,Access,C1
Public toilet,Access,C1
Public toilets,Access,C1
Public Tree related issue,Environmental Disruptions,C2
Public tree requires pruning,Environmental Disruptions,C2
Public Trees,Environmental Disruptions,C2
Rats,Environmental Health,C3
Recycling (household waste),Environmental Health,C3
Recycling and waste,Environmental Health,C3
Refuse & recycling,Environmental Health,C3
Refuse and recycling,Environmental Health,C3
Refuse collection,Environmental Health,C3
Retaining Wall,Environmental Disruptions,C2
Rights of way,Access,C1
Road and Pavement Issues,Road Safety & Defects,C7
Road defect,Road Safety & Defects,C7
Road lighting,Road Safety & Defects,C7
Road lines / road markings,Road Safety & Defects,C7
Road Marking,Road Safety & Defects,C7
Road markings,Road Safety & Defects,C7
Road markings faded/missing,Road Safety & Defects,C7
Road or pavement defect,Road Safety & Defects,C7
Road or pavement obstruction,Road Safety & Defects,C7
Road Safety,Road Safety & Defects,C7
Road Safety & Defects,Road Safety & Defects,C7
Road Sign,Road Safety & Defects,C7
Road signage,Road Safety & Defects,C7
Road signs,Road Safety & Defects,C7
Road Signs and Markings,Road Safety & Defects,C7
Road surface,Road Safety & Defects,C7
Road surface issue,Road Safety & Defects,C7
Road traffic signs,Road Safety & Defects,C7
Road Traffic Signs and Road Markings,Road Safety & Defects,C7
Road Works,Road Safety & Defects,C7
Road works problem,Road Safety & Defects,C7
Roads and Highways,Road Safety & Defects,C7
Roads and pavement surfaces - Overhangin,Environmental Disruptions,C2
Roads and pavement surfaces - Overhanging vegetation,Environmental Disruptions,C2
Roads/highways,Road Safety & Defects,C7
Roadside safety barrier,Road Safety & Defects,C7
Roadworks,Road Safety & Defects,C7
Rotten timber handrails or decking,Access,C1
Rubbish,Environmental Health,C3
Rubbish (refuse and recycling),Environmental Health,C3
"Rubbish (refuse and recycling)	",Environmental Health,C3
Rubbish accumulation on private property,Environmental Health,C3
Rubbish or fly tipping on the roads,Environmental Health,C3
Salt bin damaged,Road Safety & Defects,C7
Salt bin refill,Road Safety & Defects,C7
Salt Bin Request,Road Safety & Defects,C7
Shopping Trolley,Incivilities,C4
Shopping trolleys,Incivilities,C4
Sign (lit),Road Safety & Defects,C7
Sign (unlit),Road Safety & Defects,C7
Sign light not working,Road Safety & Defects,C7
Sign or Marking,Road Safety & Defects,C7
Sign problem,Road Safety & Defects,C7
Signal head turned around,Road Safety & Defects,C7
Signals stuck on red,Road Safety & Defects,C7
Signs,Road Safety & Defects,C7
Signs on a public right of way,Access,C1
Signs/Cones/Bollards/Barriers,Road Safety & Defects,C7
Single pothole (less than 30cm wide and,Road Safety & Defects,C7
Single pothole (less than 30cm wide and 4cm deep),Road Safety & Defects,C7
Single pothole (more than 30cm wide and,Road Safety & Defects,C7
Single pothole (more than 30cm wide and 4cm deep),Road Safety & Defects,C7
Skip on road/verge,Road Safety & Defects,C7
Skip problem,Environmental Health,C3
Skips and scaffolding,Environmental Health,C3
Snow and ice problem/winter salting,Road Safety & Defects,C7
Spillage on the road,Environmental Health,C3
Street cleaning,Environmental Health,C3
Street cleansing,Environmental Health,C3
Street drainage,Environmental Health,C3
Street furniture,Environmental Disruptions,C2
Street Light,Road Safety & Defects,C7
Street light dim,Road Safety & Defects,C7
Street Light Fault,Road Safety & Defects,C7
Street light intermittent,Road Safety & Defects,C7
Street light not working,Road Safety & Defects,C7
Street lighting,Road Safety & Defects,C7
Street lighting (on adopted highways),Road Safety & Defects,C7
"Street lighting (parks, car parks and op",Road Safety & Defects,C7
"Street lighting (parks, car parks and open spaces)",Road Safety & Defects,C7
"Street lighting (parks, car parks, open",Road Safety & Defects,C7
"Street lighting (parks, car parks, open spaces and footpaths)",Road Safety & Defects,C7
Street Lighting and Road Signs,Road Safety & Defects,C7
Street Lights,Road Safety & Defects,C7
Street Lights (Electrical),Road Safety & Defects,C7
Street Name Plate,Environmental Disruptions,C2
Street Name Plates,Environmental Disruptions,C2
Street nameplaces,Environmental Disruptions,C2
Street Nameplate,Environmental Disruptions,C2
Street nameplates,Environmental Disruptions,C2
Street needs gritting,Road Safety & Defects,C7
Street sign,Road Safety & Defects,C7
Street weeds,Environmental Disruptions,C2
Street Works (Utilities),Road Safety & Defects,C7
Subway light,Environmental Disruptions,C2
Surface Defect on a public right of way,Road Safety & Defects,C7
Surface Defect on a road or footway,Road Safety & Defects,C7
Temporary Traffic Signals,Road Safety & Defects,C7
Timing issue,Road Safety & Defects,C7
To let signs,Other,C5
Trade Waste,Environmental Health,C3
Traffic light,Road Safety & Defects,C7
Traffic light / crossing - button/beep/lamp,Road Safety & Defects,C7
Traffic light / crossing - timing issues,Road Safety & Defects,C7
Traffic Light Fault,Road Safety & Defects,C7
Traffic lights,Road Safety & Defects,C7
"Traffic lights & crossings problems with buttons, beep or lamps",Road Safety & Defects,C7
Traffic lights & crossings problems with timings,Road Safety & Defects,C7
Traffic lights & signals,Road Safety & Defects,C7
Traffic Lights (permanent only),Road Safety & Defects,C7
Traffic Lights (temporary only),Road Safety & Defects,C7
Traffic lights problem at temporary roadworks,Road Safety & Defects,C7
Traffic Signals,Road Safety & Defects,C7
Tree,Environmental Disruptions,C2
Tree (dangerous),Environmental Disruptions,C2
Tree (fallen branches),Environmental Disruptions,C2
Tree matters / Preservation Orders,Environmental Disruptions,C2
Tree Or Shrub,Environmental Disruptions,C2
Tree or Shrub on a public right of way,Access,C1
Tree or Shrub on a road or footway,Access,C1
Tree or Shrub on a verge or open space,Public Space,C6
Tree Requires Pruning,Environmental Disruptions,C2
Tree/branch - fallen,Environmental Disruptions,C2
Tree/branch - may fall,Environmental Disruptions,C2
Tree/branch/hedge - overgrown,Environmental Disruptions,C2
Trees,Environmental Disruptions,C2
Trees & hedges,Environmental Disruptions,C2
Trees (along Public Rights of Way),Access,C1
Trees (on sites owned by Three Rivers Di,Access,C1
Trees (on sites owned by Three Rivers District Council),Environmental Disruptions,C2
Trees (on the highway verge),Environmental Disruptions,C2
Trees (Urban Areas),Environmental Disruptions,C2
Trees and woodland,Environmental Disruptions,C2
Trees and Woodland Maintenance,Environmental Disruptions,C2
"Trees in parks, commons and open  spaces",Environmental Disruptions,C2
Trees on and near highways and footpaths,Access,C1
Trees or Vegetation,Environmental Disruptions,C2
Trees overhanging highways,Access,C1
Trees overhanging roads/paths,Access,C1
Trees overhanging/obstructing the road o,Access,C1
Trees overhanging/obstructing the road or footpath,Environmental Disruptions,C2
Trees/Hedges Overhanging Roads Or Footpa,Access,C1
Trees/Hedges Overhanging Roads Or Footpaths,Environmental Disruptions,C2
Trenches,Environmental Disruptions,C2
Trip hazard,Environmental Health,C3
Trip hazard/uneven surface,Environmental Health,C3
Trunkroad or motorway defect,Road Safety & Defects,C7
Unauthorised signs,Incivilities,C4
Untaxed vehicle,Abandoned Vehicles & Parking,C8
Utilities,Environmental Disruptions,C2
Utility cabinets,Environmental Disruptions,C2
Utility Work,Environmental Disruptions,C2
Utility Works and Manhole Covers,Environmental Disruptions,C2
Utility Works and Manhole Covers (Street,Environmental Disruptions,C2
Utility Works and Manhole Covers (Streetworks),Environmental Disruptions,C2
Utlility Covers,Environmental Disruptions,C2
Vegetation on a public right of way,Access,C1
Vegetation or Weeds,Environmental Disruptions,C2
Vegetation or Weeds on a public right of,Access,C1
Vegetation Or Weeds on a public right of way,Access,C1
Vegetation or Weeds on a verge or open s,Access,C1
Vegetation Or Weeds on a verge or open space,Access,C1
Vehicle Access,Access,C1
Vehicle Access (Assets),Access,C1
Verge cutting required,Environmental Disruptions,C2
Visibility at junction or bend,Road Safety & Defects,C7
Weed control,Environmental Disruptions,C2
Weed problem on the highway,Environmental Disruptions,C2
Weed spraying,Environmental Disruptions,C2
Weeds,Environmental Disruptions,C2
Wheel tracks or ruts,Public Space,C6
Zebra crossing,Road Safety & Defects,C7
