category,SHEF_B,SHEF_B_CODE
Crash Barriers,Road Safety,B24
Crossing not working,Road Safety,B24
Damage Public Litter Bin,Bin Replacement,B2
"Damage to bins, benches, and infrastructure",Bin Replacement,B2
Damage to pavement,Road Surface Defects,B25
Damage to road,Road Surface Defects,B25
Damaged bollard or post,Road Safety,B24
"Damaged dyke, ditch or culvert",Bridge/Culvert Defects,B3
Damaged equipment,Open Spaces/Parks,B15
"Damaged Railing, manhole, or drain cover",Road Surface Defects,B25
"Damaged road edge, encroaches less than 100mm",Road Surface Defects,B25
"Damaged road edge, encroaches more than 100mm",Road Surface Defects,B25
Damaged road sign,Road Surface Defects,B25
Damaged street nameplate,Street Furniture,B27
Damaged/missing boundary markers,Road Surface Defects,B25
Damaged/missing cats eye,Road Surface Defects,B25
Damaged/missing paving slab,Road Surface Defects,B25
Dangerous Building,Dangerous Building/Structure,B5
Dangerous structure,Dangerous Building/Structure,B5
Dead animal,Environmental Health,B8
Dead animals,Environmental Health,B8
Debris & spillage,Rubbish,B26
Debris / Obstructions,Rubbish,B26
Debris/Spillage,Rubbish,B26
Defective road markings or signs,Road Safety,B24
Demo,Other,B16
Discarded Syringes,Rubbish,B26
Ditch issue,Bridge/Culvert Defects,B3
Dog and litter bins,Bin Replacement,B2
Dog Bin,Bin Replacement,B2
Dog Bin overflow,Bin Replacement,B2
Dog bin overflowing,Bin Replacement,B2
Dog fouling,Dog Fouling,B6
Dog Mess,Dog Fouling,B6
Dog Waste Bin,Bin Replacement,B2
Dog Waste Bin on a verge or open space,Bin Replacement,B2
Dogs and Dogs Fouling,Dog Fouling,B6
Drain or Gully,Drainage,B7
Drainage,Drainage,B7
Drainage or Flooding on a public right o,Drainage,B7
Drainage Or Flooding on a public right of way,Drainage,B7
Drains,Drainage,B7
Dumped cylinder,Rubbish,B26
Dumped rubbish,Rubbish,B26
Dying or diseased tree,Overgrown/Fallen Veg/Trees,B17
Enforcement,Parking,B18
Environmental health,Environmental Health,B8
Excessive or dangerous littering,Rubbish,B26
Exposed cables/wires,Environmental Health,B8
Faded road markings,Road Safety,B24
Fallen tree across road or pavement,Overgrown/Fallen Veg/Trees,B17
Fault with temporary traffic signals,Road Safety,B24
Faulty street light,Street Lights,B28
Faulty street sign,Road Safety,B24
Fences,Fences,B9
Fences & barriers,Fences,B9
Fire hydrants,Other,B16
Flooded subway,Drainage,B7
Flooding,Drainage,B7
Flooding of a road or pavement,Drainage,B7
Flooding on a road or footway,Drainage,B7
Flooding or standing water on road,Drainage,B7
Floral displays,Floral Displays,B10
Fly Posting,Rubbish,B26
Fly tipping,Rubbish,B26
Fly Tipping on a public right of way,Rubbish,B26
"Fly Tipping on a road, footway, verge or",Rubbish,B26
"Fly Tipping on a road, footway, verge or open space",Rubbish,B26
Flyposting,Incivilities,B14
Fly-Posting,Incivilities,B14
Flyposting (not by roadside),Incivilities,B14
Flyposting (on road or roadside),Incivilities,B14
Flytipping,Rubbish,B26
Fly-Tipping,Rubbish,B26
Flytipping and dumped rubbish,Rubbish,B26
Footpath / pavement problem,Road Surface Defects,B25
Footpaths & rights of way,Right of Way,B23
Footpaths/ Rights of way (usually not ta,Right of Way,B23
Footpaths/ Rights of way (usually not tarmac),Right of Way,B23
Footway Defect,Right of Way,B23
Footway Defect on a road or footway,Right of Way,B23
Footway or Footpath,Right of Way,B23
Garden Waste,Rubbish,B26
Gates/Stiles on a public right of way,Right of Way,B23
General Highways Enquiry,Highways Enquiries,B13
Graffiti,Incivilities,B14
Graffiti (Offensive),Incivilities,B14
Graffiti and flyposting,Incivilities,B14
Graffiti on bridges/subways,Incivilities,B14
Graffiti on council buildings,Incivilities,B14
Graffiti on Council Property,Incivilities,B14
Grafitti,Incivilities,B14
Grass and Hedges,Overgrown/Fallen Veg/Trees,B17
Grass Cutting,Overgrown/Fallen Veg/Trees,B17
Grass Cutting on a public right of way,Right of Way,B23
Grass Cutting on a verge or open space,Overgrown/Fallen Veg/Trees,B17
Grass needs cutting,Overgrown/Fallen Veg/Trees,B17
Grass verges,Overgrown/Fallen Veg/Trees,B17
Grass/Weeds,Overgrown/Fallen Veg/Trees,B17
Grids and Drains,Drainage,B7
Grit bin issue,Gritting,B11
Grit bin refills,Gritting,B11
Grit Bins,Gritting,B11
Gritting,Gritting,B11
Grounds Maintenance,Grounds Maintenance,B12
Gullies,Drainage,B7
Gully,Drainage,B7
Gully and Catchpits,Drainage,B7
Gully or Manhole,Drainage,B7
Gully or manhole defect,Drainage,B7
Gully/Drainage,Drainage,B7
Hazardous or fallen trees,Overgrown/Fallen Veg/Trees,B17
Hazardous spillage on road,Rubbish,B26
Hedge problem,Overgrown/Fallen Veg/Trees,B17
Hedges / trees on rights of way,Right of Way,B23
Hedges / Trees on road or verge,Right of Way,B23
Highway Condition,Road Surface Defects,B25
Highway Condition (Assets),Road Surface Defects,B25
Highway Condition Enquiry,Highways Enquiries,B13
Highway Drainage or Flooding,Drainage,B7
Highway Improvements on a road or footwa,Grounds Maintenance,B12
Highway Improvements on a road or footway,Grounds Maintenance,B12
Highway Schemes,Highways Enquiries,B13
Highways,Highways Enquiries,B13
Highways Drainage,Drainage,B7
Highways Drainage on a road or footway,Drainage,B7
Highways Maintenance,Grounds Maintenance,B12
Household bins left out,Rubbish,B26
Ice,Gritting,B11
Ice & snow,Gritting,B11
Ice/Snow,Gritting,B11
Illegal advertising,Incivilities,B14
Illegal parking,Parking,B18
Illegally parked vehicle,Parking,B18
Illuminated Sign,Street Lights,B28
Iluminated Bollard,Street Lights,B28
Inspection Covers,Drainage,B7
Japanese knotweed / ragwort,Overgrown/Fallen Veg/Trees,B17
Kerb damage / issue,Other,B16
Kerbs,Other,B16
Leafing,Rubbish,B26
Leaves,Rubbish,B26
Lewisham Homes,Other,B16
Light on during the day,Street Lights,B28
Lines and Markings (Council Car Park),Road Safety,B24
Lit Bollards (Electrical),Road Safety,B24
Lit signs & bollards,Road Safety,B24
Lit Signs (Electrical),Other,B16
Litter,Rubbish,B26
Litter bin,Rubbish,B26
Litter bin damaged,Rubbish,B26
Litter bin full,Rubbish,B26
Litter Bin on a verge or open space,Rubbish,B26
Litter Bin overflow,Rubbish,B26
Litter Bin overflow in Parks & Open spaces,Rubbish,B26
Litter Bin Overflowing,Rubbish,B26
Litter in Parks & Open spaces,Rubbish,B26
Litter in the street,Rubbish,B26
Loose chippings,Road Surface Defects,B25
Loose/missing/chipped kerbstone,Other,B16
Manhole,Drainage,B7
Manhole / Drain cover,Drainage,B7
Manhole Cover,Drainage,B7
Manhole covers,Drainage,B7
Manhole/drain cover on pavement/verge,Drainage,B7
Manhole/drain cover on road/cycleway,Drainage,B7
Manholes,Drainage,B7
Miscellaneous,Other,B16
Missed bin collection,Rubbish,B26
Missed Collection,Rubbish,B26
Missed Collection (Green Waste),Rubbish,B26
Missed Food Waste Collection,Rubbish,B26
Missed Grass Cutting,Overgrown/Fallen Veg/Trees,B17
Missing Gully/Manhole,Drainage,B7
Missing safety fence,Road Surface Defects,B25
Missing/Broken Sign on a public right of,Right of Way,B23
Missing/Broken Sign on a public right of way,Right of Way,B23
Motorways Defects,Road Surface Defects,B25
Mud / Slippery surface,Road Surface Defects,B25
Mud and Debris,Rubbish,B26
Mud or Debris on the road,Rubbish,B26
Multiple potholes (various sizes),Road Surface Defects,B25
Needles,Environmental Health,B8
Noise nuisance,Incivilities,B14
Noxious weeds,Overgrown/Fallen Veg/Trees,B17
Objects in the road,Right of Way,B23
Obstruction,Right of Way,B23
Obstruction on a public right of way,Right of Way,B23
Obstruction on Highways / Sight Lines,Right of Way,B23
Obstruction on pavement/verge,Right of Way,B23
Obstruction on road or pavement,Right of Way,B23
Obstruction on road/cycleway,Right of Way,B23
Obstruction or hazard on road,Right of Way,B23
"Obstructions (skips, A boards)",Right of Way,B23
Obstructive vegetation,Overgrown/Fallen Veg/Trees,B17
Off Street Parking,Parking,B18
Offensive Graffiti on Property,Incivilities,B14
Oil spillage,Rubbish,B26
On Street Parking,Parking,B18
On-street parking,Parking,B18
Other,Other,B16
Overflowing litter bin,Rubbish,B26
Overflowing Street Litter Bin,Rubbish,B26
Overgrown tree/hedges,Overgrown/Fallen Veg/Trees,B17
Overgrown vegetation,Overgrown/Fallen Veg/Trees,B17
Overhanging Foliage,Overgrown/Fallen Veg/Trees,B17
Overhanging tree/foliage/bush,Overgrown/Fallen Veg/Trees,B17
Overhanging vegetation,Overgrown/Fallen Veg/Trees,B17
Overhanging vegetation from private land,Overgrown/Fallen Veg/Trees,B17
Parking,Parking,B18
Parking enforcement,Parking,B18
Parking Equipment (Council Car Park),Parking,B18
Parking queries/reports,Parking,B18
Parks,Open Spaces/Parks,B15
Parks & Green Spaces,Open Spaces/Parks,B15
Parks & open spaces,Open Spaces/Parks,B15
Parks and Greenspace,Open Spaces/Parks,B15
Parks and playgrounds,Open Spaces/Parks,B15
Parks and playing fields,Open Spaces/Parks,B15
Parks repairs,Open Spaces/Parks,B15
Parks/landscapes,Open Spaces/Parks,B15
Pavement and road repairs,Road Surface Defects,B25
Pavement Damaged/Cracked,Pavement /Footway Defects,B19
Pavement defect,Pavement /Footway Defects,B19
Pavement Jetting,Road Surface Defects,B25
Pavements,Pavement /Footway Defects,B19
Pavements & kerbs,Pavement /Footway Defects,B19
Pavements/footpaths,Pavement /Footway Defects,B19
Pedestrian guard rail missing/damaged,Right of Way,B23
Permanent Traffic Signals/Road Crossings,Road Safety,B24
Pest Control,Environmental Health,B8
Phoenix HA,Other,B16
Play Area Issues on a verge or open spac,Open Spaces/Parks,B15
Play Area Issues on a verge or open space,Open Spaces/Parks,B15
Play area safety issue,Open Spaces/Parks,B15
Playground Equipment,Open Spaces/Parks,B15
Playing Fields,Open Spaces/Parks,B15
Pole/signal knocked down,Road Safety,B24
Poop Scoop Bins,Dog Fouling,B6
Poor Parking (Council Car Park),Parking,B18
Pothole,Road Surface Defects,B25
Pothole (Council Car Park),Road Surface Defects,B25
Pothole / Surface Defect,Road Surface Defects,B25
Pothole on a road or footway,Road Surface Defects,B25
Pothole on pavement/verge,Road Surface Defects,B25
Pothole on road/cycleway,Road Surface Defects,B25
Potholes,Road Surface Defects,B25
Potholes (large),Road Surface Defects,B25
Potholes (smaller than 30cm by 4cm),Road Surface Defects,B25
Property damage,Property Damage,B20
Protected trees (in Conservations Areas),Other,B16
Public Conveniences,Public Toilets,B21
Public Right of Way (including Cycleway),Right of Way,B23
Public rights of way,Right of Way,B23
"Public rights of way, alleyways and brid",Right of Way,B23
"Public rights of way, alleyways and bridlepaths",Right of Way,B23
Public Rights of Ways,Right of Way,B23
Public toilet,Public Toilets,B21
Public toilets,Public Toilets,B21
Public Tree related issue,Overgrown/Fallen Veg/Trees,B17
Public tree requires pruning,Overgrown/Fallen Veg/Trees,B17
Public Trees,Overgrown/Fallen Veg/Trees,B17
Rats,Environmental Health,B8
Recycling (household waste),Rubbish,B26
Recycling and waste,Rubbish,B26
Refuse & recycling,Rubbish,B26
Refuse and recycling,Rubbish,B26
Refuse collection,Rubbish,B26
Retaining Wall,Retaining Wall,B22
Rights of way,Right of Way,B23
Road and Pavement Issues,Road Surface Defects,B25
Road defect,Road Surface Defects,B25
Road lighting,Street Lights,B28
Road lines / road markings,Road Safety,B24
Road Marking,Road Safety,B24
Road markings,Road Safety,B24
Road markings faded/missing,Road Safety,B24
Road or pavement defect,Road Surface Defects,B25
Road or pavement obstruction,Road Surface Defects,B25
Road Safety,Road Safety,B24
Road Sign,Road Safety,B24
Road signage,Road Safety,B24
Road signs,Road Safety,B24
Road Signs and Markings,Road Safety,B24
Road surface,Road Surface Defects,B25
Road surface issue,Road Surface Defects,B25
Road traffic signs,Road Safety,B24
Road Traffic Signs and Road Markings,Road Safety,B24
Road Works,Grounds Maintenance,B12
Road works problem,Grounds Maintenance,B12
Roads and Highways,Road Surface Defects,B25
Roads and pavement surfaces - Overhangin,Overgrown/Fallen Veg/Trees,B17
Roads and pavement surfaces - Overhanging vegetation,Overgrown/Fallen Veg/Trees,B17
Roads/highways,Highways Enquiries,B13
Roadside safety barrier,Road Surface Defects,B25
Roadworks,Grounds Maintenance,B12
Rotten timber handrails or decking,Right of Way,B23
Rubbish,Rubbish,B26
Rubbish (refuse and recycling),Rubbish,B26
"Rubbish (refuse and recycling)	",Rubbish,B26
Rubbish accumulation on private property,Rubbish,B26
Rubbish or fly tipping on the roads,Rubbish,B26
Salt bin damaged,Gritting,B11
Salt bin refill,Gritting,B11
Salt Bin Request,Gritting,B11
Shopping Trolley,Incivilities,B14
Shopping trolleys,Incivilities,B14
Sign (lit),Road Safety,B24
Sign (unlit),Road Safety,B24
Sign light not working,Road Safety,B24
Sign or Marking,Road Safety,B24
Sign problem,Road Safety,B24
Signal head turned around,Road Safety,B24
Signals stuck on red,Road Safety,B24
Signs,Road Safety,B24
Signs on a public right of way,Right of Way,B23
Signs/Cones/Bollards/Barriers,Road Safety,B24
Single pothole (less than 30cm wide and,Road Surface Defects,B25
Single pothole (less than 30cm wide and 4cm deep),Road Surface Defects,B25
Single pothole (more than 30cm wide and,Road Surface Defects,B25
Single pothole (more than 30cm wide and 4cm deep),Road Surface Defects,B25
Skip on road/verge,Road Safety,B24
Skip problem,Rubbish,B26
Skips and scaffolding,Rubbish,B26
Snow and ice problem/winter salting,Gritting,B11
Spillage on the road,Rubbish,B26
Street cleaning,Rubbish,B26
Street cleansing,Rubbish,B26
Street drainage,Drainage,B7
Street furniture,Street Furniture,B27
Street Light,Street Lights,B28
Street light dim,Street Lights,B28
Street Light Fault,Street Lights,B28
Street light intermittent,Street Lights,B28
Street light not working,Street Lights,B28
Street lighting,Street Lights,B28
Street lighting (on adopted highways),Street Lights,B28
"Street lighting (parks, car parks and op",Street Lights,B28
"Street lighting (parks, car parks and open spaces)",Street Lights,B28
"Street lighting (parks, car parks, open",Street Lights,B28
"Street lighting (parks, car parks, open spaces and footpaths)",Street Lights,B28
Street Lighting and Road Signs,Street Lights,B28
Street Lights,Street Lights,B28
Street Lights (Electrical),Street Lights,B28
Street Name Plate,Street Furniture,B27
Street Name Plates,Street Furniture,B27
Street nameplaces,Street Furniture,B27
Street Nameplate,Street Furniture,B27
Street nameplates,Street Furniture,B27
Street needs gritting,Gritting,B11
Street sign,Road Safety,B24
Street weeds,Overgrown/Fallen Veg/Trees,B17
Street Works (Utilities),Grounds Maintenance,B12
Subway light,Bridge/Culvert Defects,B3
Surface Defect on a public right of way,Road Surface Defects,B25
Surface Defect on a road or footway,Pavement /Footway Defects,B19
Temporary Traffic Signals,Road Safety,B24
Timing issue,Road Safety,B24
To let signs,Other,B16
Trade Waste,Rubbish,B26
Traffic light,Road Safety,B24
Traffic light / crossing - button/beep/lamp,Road Safety,B24
Traffic light / crossing - timing issues,Road Safety,B24
Traffic Light Fault,Road Safety,B24
Traffic lights,Road Safety,B24
"Traffic lights & crossings problems with buttons, beep or lamps",Road Safety,B24
Traffic lights & crossings problems with timings,Road Safety,B24
Traffic lights & signals,Road Safety,B24
Traffic Lights (permanent only),Road Safety,B24
Traffic Lights (temporary only),Road Safety,B24
Traffic lights problem at temporary roadworks,Road Safety,B24
Traffic Signals,Road Safety,B24
Tree,Overgrown/Fallen Veg/Trees,B17
Tree (dangerous),Overgrown/Fallen Veg/Trees,B17
Tree (fallen branches),Overgrown/Fallen Veg/Trees,B17
Tree matters / Preservation Orders,Overgrown/Fallen Veg/Trees,B17
Tree Or Shrub,Overgrown/Fallen Veg/Trees,B17
Tree or Shrub on a public right of way,Right of Way,B23
Tree or Shrub on a road or footway,Right of Way,B23
Tree or Shrub on a verge or open space,Open Spaces/Parks,B15
Tree Requires Pruning,Overgrown/Fallen Veg/Trees,B17
Tree/branch - fallen,Overgrown/Fallen Veg/Trees,B17
Tree/branch - may fall,Overgrown/Fallen Veg/Trees,B17
Tree/branch/hedge - overgrown,Overgrown/Fallen Veg/Trees,B17
Trees,Overgrown/Fallen Veg/Trees,B17
Trees & hedges,Overgrown/Fallen Veg/Trees,B17
Trees (along Public Rights of Way),Right of Way,B23
Trees (on sites owned by Three Rivers Di,Right of Way,B23
Trees (on sites owned by Three Rivers District Council),Overgrown/Fallen Veg/Trees,B17
Trees (on the highway verge),Overgrown/Fallen Veg/Trees,B17
Trees (Urban Areas),Overgrown/Fallen Veg/Trees,B17
Trees and woodland,Overgrown/Fallen Veg/Trees,B17
Trees and Woodland Maintenance,Overgrown/Fallen Veg/Trees,B17
"Trees in parks, commons and open  spaces",Overgrown/Fallen Veg/Trees,B17
Trees on and near highways and footpaths,Right of Way,B23
Trees or Vegetation,Overgrown/Fallen Veg/Trees,B17
Trees overhanging highways,Right of Way,B23
Trees overhanging roads/paths,Right of Way,B23
Trees overhanging/obstructing the road o,Right of Way,B23
Trees overhanging/obstructing the road or footpath,Overgrown/Fallen Veg/Trees,B17
Trees/Hedges Overhanging Roads Or Footpa,Right of Way,B23
Trees/Hedges Overhanging Roads Or Footpaths,Overgrown/Fallen Veg/Trees,B17
Trenches,Utility Works,B29
Trip hazard,Rubbish,B26
Trip hazard/uneven surface,Rubbish,B26
Trunkroad or motorway defect,Road Surface Defects,B25
Unauthorised signs,Incivilities,B14
Untaxed vehicle,Other,B16
Utilities,Utility Works,B29
Utility cabinets,Utility Works,B29
Utility Work,Utility Works,B29
Utility Works and Manhole Covers,Utility Works,B29
Utility Works and Manhole Covers (Street,Utility Works,B29
Utility Works and Manhole Covers (Streetworks),Utility Works,B29
Utlility Covers,Utility Works,B29
Vegetation on a public right of way,Right of Way,B23
Vegetation or Weeds,Overgrown/Fallen Veg/Trees,B17
Vegetation or Weeds on a public right of,Right of Way,B23
Vegetation Or Weeds on a public right of way,Right of Way,B23
Vegetation or Weeds on a verge or open s,Right of Way,B23
Vegetation Or Weeds on a verge or open space,Right of Way,B23
Vehicle Access,Right of Way,B23
Vehicle Access (Assets),Right of Way,B23
Verge cutting required,Overgrown/Fallen Veg/Trees,B17
Visibility at junction or bend,Road Safety,B24
Weed control,Overgrown/Fallen Veg/Trees,B17
Weed problem on the highway,Overgrown/Fallen Veg/Trees,B17
Weed spraying,Overgrown/Fallen Veg/Trees,B17
Weeds,Overgrown/Fallen Veg/Trees,B17
Wheel tracks or ruts,Open Spaces/Parks,B15
Zebra crossing,Road Safety,B24
