category,SHEF_A,SHEF_A_CODE
Noxious weeds,Grass/Weed Control,A34
Objects in the road,Obstruction,A52
Obstruction,Obstruction,A52
Obstruction on a public right of way,Obstruction,A52
Obstruction on Highways / Sight Lines,Obstruction,A52
Obstruction on pavement/verge,Obstruction,A52
Obstruction on road or pavement,Obstruction,A52
Obstruction on road/cycleway,Obstruction,A52
Obstruction or hazard on road,Obstruction,A52
"Obstructions (skips, A boards)",Obstruction,A52
Obstructive vegetation,Overgrown Vegetation,A55
Off Street Parking,Parking,A56
Offensive Graffiti on Property,Graffiti,A33
Oil spillage,Spillage on Road,A78
On Street Parking,Parking,A56
On-street parking,Parking,A56
Other,Other,A54
Overflowing litter bin,Litter/Litter Bin,A47
Overflowing Street Litter Bin,Litter/Litter Bin,A47
Overgrown tree/hedges,Overgrown Vegetation,A55
Overgrown vegetation,Overgrown Vegetation,A55
Overhanging Foliage,Overgrown Vegetation,A55
Overhanging tree/foliage/bush,Overgrown Vegetation,A55
Overhanging vegetation,Overgrown Vegetation,A55
Overhanging vegetation from private land,Overgrown Vegetation,A55
Parking,Parking,A56
Parking enforcement,Parking,A56
Parking Equipment (Council Car Park),Parking,A56
Parking queries/reports,Parking,A56
Parks,Open Spaces/Parks,A53
Parks & Green Spaces,Open Spaces/Parks,A53
Parks & open spaces,Open Spaces/Parks,A53
Parks and Greenspace,Open Spaces/Parks,A53
Parks and playgrounds,Open Spaces/Parks,A53
Parks and playing fields,Open Spaces/Parks,A53
Parks repairs,Open Spaces/Parks,A53
Parks/landscapes,Open Spaces/Parks,A53
Pavement and road repairs,Pavement /Footway Defects,A57
Pavement Damaged/Cracked,Pavement /Footway Defects,A57
Pavement defect,Pavement /Footway Defects,A57
Pavement Jetting,Pavement /Footway Defects,A57
Pavements,Pavement /Footway Defects,A57
Pavements & kerbs,Pavement /Footway Defects,A57
Pavements/footpaths,Pavement /Footway Defects,A57
Pedestrian guard rail missing/damaged,Pavement /Footway Defects,A57
Permanent Traffic Signals/Road Crossings,Street Signs,A83
Pest Control,Pest Control,A58
Phoenix HA,Phoenix HA,A59
Play Area Issues on a verge or open spac,Open Spaces/Parks,A53
Play Area Issues on a verge or open space,Open Spaces/Parks,A53
Play area safety issue,Open Spaces/Parks,A53
Playground Equipment,Open Spaces/Parks,A53
Playing Fields,Open Spaces/Parks,A53
Pole/signal knocked down,Street Signs,A83
Poop Scoop Bins,Dog Fouling,A20
Poor Parking (Council Car Park),Parking,A56
Pothole,Potholes,A60
Pothole (Council Car Park),Potholes,A60
Pothole / Surface Defect,Potholes,A60
Pothole on a road or footway,Potholes,A60
Pothole on pavement/verge,Potholes,A60
Pothole on road/cycleway,Potholes,A60
Potholes,Potholes,A60
Potholes (large),Potholes,A60
Potholes (smaller than 30cm by 4cm),Potholes,A60
Property damage,Property Damage,A61
Protected trees (in Conservations Areas),Protected Trees,A62
Public Conveniences,Public Toilets,A63
Public Right of Way (including Cycleway),Right of Way,A66
Public rights of way,Right of Way,A66
"Public rights of way, alleyways and brid",Right of Way,A66
"Public rights of way, alleyways and bridlepaths",Pavement /Footway Defects,A57
Public Rights of Ways,Right of Way,A66
Public toilet,Public Toilets,A63
Public toilets,Public Toilets,A63
Public Tree related issue,Overgrown Vegetation,A55
Public tree requires pruning,Overgrown Vegetation,A55
Public Trees,Overgrown Vegetation,A55
Rats,Pest Control,A58
Recycling (household waste),Recycling,A64
Recycling and waste,Recycling,A64
Refuse & recycling,Recycling,A64
Refuse and recycling,Bin Collection,A6
Refuse collection,Bin Collection,A6
Retaining Wall,Retaining Wall,A65
Rights of way,Right of Way,A66
Road and Pavement Issues,Road Surface Defects,A69
Road defect,Road Surface Defects,A69
Road lighting,Street Lights,A81
Road lines / road markings,Road Markings,A67
Road Marking,Road Markings,A67
Road markings,Road Markings,A67
Road markings faded/missing,Road Markings,A67
Road or pavement defect,Road/Pavement Defects,A71
Road or pavement obstruction,Road/Pavement Defects,A71
Road Safety,Road Safety,A68
Road Sign,Street Signs,A83
Road signage,Street Signs,A83
Road signs,Street Signs,A83
Road Signs and Markings,Street Signs,A83
Road surface,Road Surface Defects,A69
Road surface issue,Road Surface Defects,A69
Road traffic signs,Street Signs,A83
Road Traffic Signs and Road Markings,Street Signs,A83
Road Works,Road Works,A70
Road works problem,Road Works,A70
Roads and Highways,Road Surface Defects,A69
Roads and pavement surfaces - Overhangin,Overgrown Vegetation,A55
Roads and pavement surfaces - Overhanging vegetation,Overgrown Vegetation,A55
Roads/highways,Highway Condition,A41
Roadside safety barrier,Road Surface Defects,A69
Roadworks,Roadworks,A72
Rotten timber handrails or decking,Pavement /Footway Defects,A57
Rubbish,Rubbish,A73
Rubbish (refuse and recycling),Rubbish,A73
"Rubbish (refuse and recycling)	",Rubbish,A73
Rubbish accumulation on private property,Accumulated Litter,A2
Rubbish or fly tipping on the roads,Fly-tipping,A29
Salt bin damaged,Salt Bins,A74
Salt bin refill,Salt Bins,A74
Salt Bin Request,Salt Bins,A74
Shopping Trolley,Shopping Trolley,A75
Shopping trolleys,Shopping Trolley,A75
Sign (lit),Road Markings,A67
Sign (unlit),Road Markings,A67
Sign light not working,Road Markings,A67
Sign or Marking,Sign or Marking,A76
Sign problem,Road Markings,A67
Signal head turned around,Road Markings,A67
Signals stuck on red,Road Markings,A67
Signs,Street Signs,A83
Signs on a public right of way,Street Signs,A83
Signs/Cones/Bollards/Barriers,Street Signs,A83
Single pothole (less than 30cm wide and,Street Signs,A83
Single pothole (less than 30cm wide and 4cm deep),Street Signs,A83
Single pothole (more than 30cm wide and,Potholes,A60
Single pothole (more than 30cm wide and 4cm deep),Potholes,A60
Skip on road/verge,Skips,A77
Skip problem,Skips,A77
Skips and scaffolding,Skips,A77
Snow and ice problem/winter salting,Ice & Snow,A43
Spillage on the road,Spillage on Road,A78
Street cleaning,Street Cleaning,A79
Street cleansing,Street Cleaning,A79
Street drainage,Blocked Drains,A8
Street furniture,Street Furniture,A80
Street Light,Street Lights,A81
Street light dim,Street Lights,A81
Street Light Fault,Street Lights,A81
Street light intermittent,Street Lights,A81
Street light not working,Street Lights,A81
Street lighting,Street Lights,A81
Street lighting (on adopted highways),Street Lights,A81
"Street lighting (parks, car parks and op",Street Lights,A81
"Street lighting (parks, car parks and open spaces)",Street Lights,A81
"Street lighting (parks, car parks, open",Street Lights,A81
"Street lighting (parks, car parks, open spaces and footpaths)",Street Lights,A81
Street Lighting and Road Signs,Street Lights,A81
Street Lights,Street Lights,A81
Street Lights (Electrical),Street Lights,A81
Street Name Plate,Street Name Plates,A82
Street Name Plates,Street Name Plates,A82
Street nameplaces,Street Name Plates,A82
Street Nameplate,Street Name Plates,A82
Street nameplates,Street Name Plates,A82
Street needs gritting,Gritting,A37
Street sign,Street Signs,A83
Street weeds,Grass/Weed Control,A34
Street Works (Utilities),Grounds Maintenance,A38
Subway light,Bridge/Culvert Defects,A9
Surface Defect on a public right of way,Road Surface Defects,A69
Surface Defect on a road or footway,Road Surface Defects,A69
Temporary Traffic Signals,Traffic Lights,A86
Timing issue,Traffic Lights,A86
To let signs,To Let Signs,A84
Trade Waste,Trade Waste,A85
Traffic light,Traffic Lights,A86
Traffic light / crossing - button/beep/lamp,Traffic Lights,A86
Traffic light / crossing - timing issues,Traffic Lights,A86
Traffic Light Fault,Traffic Lights,A86
Traffic lights,Traffic Lights,A86
"Traffic lights & crossings problems with buttons, beep or lamps",Traffic Lights,A86
Traffic lights & crossings problems with timings,Traffic Lights,A86
Traffic lights & signals,Traffic Lights,A86
Traffic Lights (permanent only),Traffic Lights,A86
Traffic Lights (temporary only),Traffic Lights,A86
Traffic lights problem at temporary roadworks,Traffic Lights,A86
Traffic Signals,Traffic Lights,A86
Tree,Fallen/Dangerous Trees,A24
Tree (dangerous),Fallen/Dangerous Trees,A24
Tree (fallen branches),Fallen/Dangerous Trees,A24
Tree matters / Preservation Orders,Fallen/Dangerous Trees,A24
Tree Or Shrub,Fallen/Dangerous Trees,A24
Tree or Shrub on a public right of way,Trees on RoW,A88
Tree or Shrub on a road or footway,Trees on RoW,A88
Tree or Shrub on a verge or open space,Fallen/Dangerous Trees,A24
Tree Requires Pruning,Overgrown Vegetation,A55
Tree/branch - fallen,Fallen/Dangerous Trees,A24
Tree/branch - may fall,Fallen/Dangerous Trees,A24
Tree/branch/hedge - overgrown,Overgrown Vegetation,A55
Trees,Fallen/Dangerous Trees,A24
Trees & hedges,Fallen/Dangerous Trees,A24
Trees (along Public Rights of Way),Trees on RoW,A88
Trees (on sites owned by Three Rivers Di,Trees on RoW,A88
Trees (on sites owned by Three Rivers District Council),Overgrown Vegetation,A55
Trees (on the highway verge),Fallen/Dangerous Trees,A24
Trees (Urban Areas),Fallen/Dangerous Trees,A24
Trees and woodland,Overgrown Vegetation,A55
Trees and Woodland Maintenance,Fallen/Dangerous Trees,A24
"Trees in parks, commons and open  spaces",Overgrown Vegetation,A55
Trees on and near highways and footpaths,Overgrown Vegetation,A55
Trees or Vegetation,Overgrown Vegetation,A55
Trees overhanging highways,Overgrown Vegetation,A55
Trees overhanging roads/paths,Overgrown Vegetation,A55
Trees overhanging/obstructing the road o,Overgrown Vegetation,A55
Trees overhanging/obstructing the road or footpath,Overgrown Vegetation,A55
Trees/Hedges Overhanging Roads Or Footpa,Overgrown Vegetation,A55
Trees/Hedges Overhanging Roads Or Footpaths,Overgrown Vegetation,A55
Trenches,Trenches,A89
Trip hazard,Trip Hazard,A90
Trip hazard/uneven surface,Trip Hazard,A90
Trunkroad or motorway defect,Highway Condition,A41
Unauthorised signs,Flyposting,A28
Untaxed vehicle,Untaxed Vehcile,A91
Utilities,Utility Works,A92
Utility cabinets,Utility Works,A92
Utility Work,Utility Works,A92
Utility Works and Manhole Covers,Utility Works,A92
Utility Works and Manhole Covers (Street,Utility Works,A92
Utility Works and Manhole Covers (Streetworks),Utility Works,A92
Utlility Covers,Utility Works,A92
Vegetation on a public right of way,Overgrown Vegetation,A55
Vegetation or Weeds,Overgrown Vegetation,A55
Vegetation or Weeds on a public right of,Overgrown Vegetation,A55
Vegetation Or Weeds on a public right of way,Overgrown Vegetation,A55
Vegetation or Weeds on a verge or open s,Overgrown Vegetation,A55
Vegetation Or Weeds on a verge or open space,Overgrown Vegetation,A55
Vehicle Access,Vehicle Access,A93
Vehicle Access (Assets),Vehicle Access,A93
Verge cutting required,Grass/Weed Control,A34
Visibility at junction or bend,Road Safety,A68
Weed control,Grass/Weed Control,A34
Weed problem on the highway,Grass/Weed Control,A34
Weed spraying,Overgrown Vegetation,A55
Weeds,Grass/Weed Control,A34
Wheel tracks or ruts,Open Spaces/Parks,A53
Zebra crossing,Zebra Crossing,A94
